rank,game_id,start_time,match,pick,odds,units,confidence_pct,reason,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,timestamp
1,261600,2025-11-27T00:30:00.000Z,Raptors vs Pacers,Raptors -9.5,-110,3,93,"Home favorite by large margin; home_spread_last = -9.5 and home_spread_odds_last = -110; consistent favorite in dataset.","120-105",1,0,0,0,0,0,-405,320,N/A,235.5,-110,-110,-9.5,-110,9.5,-110,2025-11-25T20:00:00-08:00
2,261601,2025-11-27T00:30:00.000Z,Thunder vs Timberwolves,Thunder -8.5,-109,3,91,"Home_spread_last = -8.5 with home_spread_odds_last = -109; large home favorite in `_last`.","118-107",1,0,0,0,0,0,-332,265,N/A,226.5,-114,-110,-8.5,-109,8.5,-114,2025-11-25T20:00:00-08:00
3,261593,2025-11-27T00:30:00.000Z,Heat vs Bucks,Heat -7.5,-114,2,85,"Home_spread_last = -7.5 with home_spread_odds_last = -114; Heat strong home chalk on `_last`.","115-104",1,0,0,0,0,0,-270,217,N/A,236.5,-115,-110,-7.5,-114,7.5,-109,2025-11-25T20:00:00-08:00
4,261602,2025-11-27T01:00:00.000Z,Pelicans vs Grizzlies,Grizzlies -2.5,-105,2,84,"Away_spread_last = -2.5 (away_spread_odds_last = -105); Grizzlies favored by ~2.5 on `_last`.","110-108",0,0,1,0,0,0,114,-135,N/A,234.5,-110,-110,2.5,-115,-2.5,-105,2025-11-25T20:00:00-08:00
5,261605,2025-11-27T03:00:00.000Z,Warriors vs Rockets,Warriors -1.5,-110,2,82,"Home_spread_last = -1.5 with home_spread_odds_last = -110; small home favorite but actionable.","112-110",1,0,0,0,0,0,-115,-105,N/A,224.5,-115,-105,-1.5,-110,1.5,-110,2025-11-25T20:00:00-08:00
6,261592,2025-11-27T00:00:00.000Z,Hornets vs Knicks,Knicks -6.5,-110,2,81,"Away_spread_last = -6.5 with away_spread_odds_last = -110; Knicks sizeable favorites on `_last`.","112-102",0,0,1,0,0,0,235,-298,N/A,238.5,-108,-110,6.5,-110,-6.5,-110,2025-11-25T20:00:00-08:00
7,261603,2025-11-27T03:00:00.000Z,Trail Blazers vs Spurs,Trail Blazers -2.0,-110,1,76,"home_spread_last = -2.0 and home_spread_odds_last = -110; moderate confidence small home edge.","108-105",1,0,0,0,0,0,-134,114,N/A,238.5,-110,-110,-2.0,-110,2.0,-110,2025-11-25T20:00:00-08:00
8,261604,2025-11-27T03:00:00.000Z,Kings vs Suns,Suns -3.5,-110,1,75,"away_spread_last = -3.5 (away_spread_odds_last = -110); Suns road favorite on `_last`.","113-109",0,0,1,0,0,0,142,-170,N/A,233.5,-110,-110,3.5,-110,-3.5,-110,2025-11-25T20:00:00-08:00
9,261591,2025-11-26T22:00:00.000Z,Celtics vs Pistons,Pistons -3.5,-114,1,74,"away_spread_last = -3.5 with away_spread_odds_last = -114; Pistons priced as 3.5 favorites away.","107-103",0,0,1,0,0,0,130,-155,N/A,229.5,-110,-105,3.5,-109,-3.5,-114,2025-11-25T20:00:00-08:00
10,261616,2025-11-29T03:00:00.000Z,Lakers vs Mavericks,Lakers -6.5,-110,1,73,"home_spread_last = -6.5 with home_spread_odds_last = -110; Lakers sizable home favorite on `_last`.","112-104",1,0,0,0,0,0,-278,225,N/A,226.5,-115,-105,-6.5,-110,6.5,-110,2025-11-25T20:00:00-08:00
1,261873,2025-12-02T00:30:00.000Z,Magic vs Bulls,Magic -9.5,-110,3,88,"Dominant Home Favorite Pattern: Orlando's elite defense and size mismatch at home mirror successful 'Blowout Favorite' patterns (e.g., Spurs -10.5, Thunder -14.5). Bulls struggle on the road.",115-102,1,0,0,0,0,0,-370,292,,239.5,-110,-110,-9.5,-105,9.5,-115,2025-12-01T18:00:00Z
2,261874,2025-12-02T00:30:00.000Z,Heat vs Clippers,Heat -6.5,-110,3,85,"Quality Home Favorite: Miami is very strong at home. The Clippers are on a long road trip. This fits the 'Home Team in Control' pattern that has been consistently profitable.",121-112,1,0,0,0,0,0,-258,210,,236.5,-108,-110,-6.5,-110,6.5,-110,2025-12-01T18:00:00Z
3,261871,2025-12-02T00:00:00.000Z,Pistons vs Hawks,Hawks +9.5,-105,3,92,"Quality Underdog with Points: The most profitable pattern historically has been underdogs getting significant points, especially when the line is inflated. Hawks' offense can keep this within single digits.",118-114,0,0,1,0,0,0,-425,330,,233.0,-110,-110,-9.5,-115,9.5,-105,2025-12-01T18:00:00Z
4,261876,2025-12-02T02:00:00.000Z,Nuggets vs Mavericks,Nuggets -11.5,-105,2,78,"Elite Home Blowout: Jokic at altitude vs. a potentially Luka-managed Mavs team. Denver's need for a statement win aligns with large home favorite covers (e.g., Thunder, Warriors).",119-105,1,0,0,0,0,0,-524,390,,234.5,-115,-110,-11.5,-105,11.5,-115,2025-12-01T18:00:00Z
5,261869,2025-12-02T00:00:00.000Z,Pacers vs Cavaliers,Cavaliers -4.5,-110,3,90,"Elite Team at Home: The Cavaliers are undefeated at home with a lockdown defense. Pacers on a back-to-back is a classic fade spot. This is a 'Proven Winner' pattern.",118-109,1,0,0,0,0,0,160,-191,,231.5,-110,-110,4.5,-110,-4.5,-110,2025-12-01T18:00:00Z
6,261875,2025-12-02T02:00:00.000Z,Jazz vs Rockets,Rockets -11.5,-115,2,80,"Defensive Mismatch: Houston's length should suffocate the Jazz, the worst team in the West. This is a 'Systematic Destruction' pattern similar to Rockets -16.5 vs. Wizards.",121-106,0,0,1,0,0,0,472,-650,,234.5,-108,-110,11.5,-105,-11.5,-115,2025-12-01T18:00:00Z
7,261870,2025-12-02T00:00:00.000Z,Wizards vs Bucks,Bucks -10.5,-105,2,82,"Giannis vs. Weak Defense: The Wizards have the worst record. Giannis should dominate the interior. This is a 'Bounce-Back Blowout' pattern for a talented team needing a win.",125-111,0,0,1,0,0,0,330,-425,,231.5,-110,-110,10.5,-115,-10.5,-105,2025-12-01T18:00:00Z
8,261877,2025-12-02T03:00:00.000Z,Lakers vs Suns,Lakers -4.5,-115,2,76,"Star Power at Home: LeBron/AD are healthy at home against an inconsistent Suns road team. This fits the 'Home Revenge' narrative and manageable spread.",118-111,1,0,0,0,0,0,-198,169,,235.5,-105,-110,-4.5,-115,4.5,-105,2025-12-01T18:00:00Z
9,261872,2025-12-02T00:30:00.000Z,Nets vs Hornets,Hornets -4.5,-110,2,83,"Home Court Advantage: Hornets' offense is clicking at home. The Nets are a poor road team. This is a 'Home Team in a Get-Right Spot' pattern.",116-109,0,0,1,0,0,0,160,-191,,228.5,-115,-110,4.5,-110,-4.5,-110,2025-12-01T18:00:00Z
10,261869,2025-12-02T00:00:00.000Z,Pacers vs Cavaliers,Under 231.5,-110,1,74,"Defensive Pace Control: The Cavs' elite defense combined with Pacers' B2B fatigue should limit transition opportunities and keep the total under. This follows a strong historical trend on Unders in similar spots.",118-109,0,0,0,0,0,1,160,-191,,231.5,-110,-110,4.5,-110,-4.5,-110,2025-12-01T18:00:00Z
1,261883,2025-12-03T04:00:00.000Z,Warriors vs Thunder,Warriors -11.5,-110,3,90,"Home favorite by 11.5, strong home side and matchup favors Warriors to cover.",125-110,1,0,0,0,0,0,432,-587,N/A,223.5,-110,-110,-11.5,-110,11.5,-110,2025-12-02T15:00:00Z
2,261880,2025-12-03T01:00:00.000Z,Celtics vs Knicks,Knicks -1.0,-106,2,84,"Road favorite by -1.0; small-edge road pick with matchup confidence.",112-114,0,0,1,0,0,0,-108,-112,N/A,230.5,-112,-110,1.0,-114,-1.0,-106,2025-12-02T15:00:00Z
3,261879,2025-12-03T00:30:00.000Z,Raptors vs Trail Blazers,Raptors -4.5,-115,2,83,"Home Raptors -4.5; home advantage + matchup gives edge to cover.",112-107,1,0,0,0,0,0,-199,166,N/A,230.5,-112,-108,-4.5,-115,4.5,-105,2025-12-02T15:00:00Z
4,261881,2025-12-03T01:00:00.000Z,Spurs vs Grizzlies,Spurs -5.5,-108,2,82,"Spurs at home -5.5; favorable matchup and home tilt to cover.",110-103,1,0,0,0,0,0,-205,170,N/A,232.0,-110,-110,-5.5,-108,5.5,-112,2025-12-02T15:00:00Z
5,261883,2025-12-03T04:00:00.000Z,Warriors vs Thunder,Warriors ML,-587,1,80,"Heavy home ML favorite (low payout) used as tracking stake.",125-110,0,1,0,0,0,0,432,-587,N/A,223.5,-110,-110,-11.5,-110,11.5,-110,2025-12-02T15:00:00Z
6,261882,2025-12-03T01:00:00.000Z,Pelicans vs Timberwolves,Timberwolves -12.5,-110,1,75,"Timberwolves strong road favorite (away_spread implied -12.5); moderate unit because of large spread.",104-121,0,0,1,0,0,0,472,-662,N/A,231.5,-110,-110,12.5,-110,-12.5,-110,2025-12-02T15:00:00Z
