rank,game_id,start_time,match,pick,odds,units,confidence_pct,reason,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,timestamp
1,261648,2025-10-23T00:00:00.000Z,Grizzlies vs Pelicans,Grizzlies -3.5,-115,3,99,MASSIVE SHARP FLIP-BACK: Line MOVED BACK from -4.5 to -3.5! Grizzlies money SURGED from 64% to 79% while Pelicans spread tickets climbed to 80%. This is sharps getting better number. ML went from -190 to -176 (improving). Elite sharp re-load on favorite at better price.,120-114,1,0,0,0,0,0,-176,150,,236.5,-106,-110,-3.5,-115,3.5,-105,2025-10-22T23:45:00.000Z
2,261644,2025-10-22T23:30:00.000Z,Celtics vs 76ers,Celtics -5.0,-112,3,98,"EXTREME LINE PUSH: Spread now at -5.0 (was -2.5, moved 2.5 points!). Celtics ML from -142 to -192. Celtics money dropped to 63% but that's AFTER 2.5-point line move - early sharp money forced massive adjustment. Spread money at 53% despite huge line move.",122-108,1,0,0,0,0,0,-192,162,,229.5,-109,-111,-5.0,-112,5.0,-107,2025-10-22T23:45:00.000Z
3,261647,2025-10-23T00:00:00.000Z,Bucks vs Wizards,Bucks -10.5,-107,3,97,"SHARP BLOWOUT CONSENSUS: Line at -10.5 (was -8.5). Bucks money at 97% on ML, spread money at 65% (up from 44%). Over money EXPLODED to 92% (was 75%). Sharps see total destruction - Bucks by 15+.",128-107,1,0,0,0,0,0,-440,340,,227.5,-110,-110,-10.5,-107,10.5,-112,2025-10-22T23:45:00.000Z
4,261642,2025-10-22T23:00:00.000Z,Magic vs Heat,Magic -8.5,-106,3,96,MONEY EXPLOSION: Magic money SURGED from 73% to 89%! Over money at 92% (was 79%). Line held at -8.5 despite massive money influx. Sharps loading both Magic spread AND over. Total blowout incoming.,116-100,1,0,0,0,0,0,-355,280,,216.5,-107,-111,-8.5,-106,8.5,-114,2025-10-22T23:45:00.000Z
5,261651,2025-10-23T02:00:00.000Z,Trail Blazers vs Timberwolves,Timberwolves -4.5,-110,3,94,SUSTAINED SHARP DOMINANCE: Wolves spread money at 72% (was 45%). Over money at 91% (was 81%). Blazers spread tickets at 77% but line HOLDING at -4.5. ML at 93% on Wolves. Complete sharp consensus.,101-114,0,0,1,0,0,0,150,-185,,221.0,-110,-108,4.5,-110,-4.5,-110,2025-10-22T23:45:00.000Z
6,261650,2025-10-23T02:00:00.000Z,Suns vs Kings,Suns -3.5,-115,3,92,"SHARP REVERSAL BACK: Suns money came BACK to 45% (was at 32%, now recovering). Line moved back to -3.5 from -4.5. Kings money peaked at 68%, now down to 55%. This was sharp bait - now loading Suns at better number.",116-111,1,0,0,0,0,0,-180,145,,229.5,-105,-114,-3.5,-115,3.5,-105,2025-10-22T23:45:00.000Z
7,261645,2025-10-22T23:30:00.000Z,Hawks vs Raptors,Hawks -5.5,-110,3,90,SHARP ML SURGE: Hawks money climbed to 73% (was 62%). Over money at 84% (was 67%). Spread money dropped to 19% on Hawks meaning sharps taking ML. High-scoring Hawks blowout.,127-115,1,0,0,0,0,0,-225,185,,237.5,-108,-111,-5.5,-110,5.5,-110,2025-10-22T23:45:00.000Z
8,261649,2025-10-23T01:00:00.000Z,Jazz vs Clippers,Clippers -9.5,-110,2,86,SHARP MONEY SURGE: Clippers ML money at 97% (was 93%). Spread money at 42% (was 62%) but line came back to -9.5 from -10.5. Sharps getting better number on massive favorite.,106-120,0,0,1,0,0,0,320,-410,,225.5,-110,-110,9.5,-110,-9.5,-110,2025-10-22T23:45:00.000Z
9,261643,2025-10-22T23:00:00.000Z,Hornets vs Nets,Hornets -5.5,-108,2,82,MONEY VS TICKETS: Hornets ML money dropped to 70% (was 88%) but spread money at 23% with 84% tickets on Nets. Line holding at -5.5. Sharp resistance on number despite public fade.,117-110,1,0,0,0,0,0,-200,170,,228.5,-110,-110,-5.5,-108,5.5,-112,2025-10-22T23:45:00.000Z
10,261646,2025-10-23T00:00:00.000Z,Bulls vs Pistons,Pistons -3.5,-107,2,78,LINE STABILIZED: Back to -3.5. Pistons spread money at 53% (was 60%). Bulls money flat at 22%. Line finding equilibrium but Pistons spread money edge remains.,116-119,0,0,1,0,0,0,130,-155,,236.5,-110,-110,3.5,-112,-3.5,-107,2025-10-22T23:45:00.000Z
1,261650,2025-10-23T02:00:00.000Z,Suns vs Kings,Kings ML,150,3,99,HISTORIC SHARP REVERSAL: Kings money EXPLODED from 43% to 68%! Suns money COLLAPSED from 57% to 32% despite 72% tickets on Suns. This is a 36-point money swing - the largest in the entire dataset. Sharp money overwhelmingly on road dog.,111-116,0,0,0,1,0,0,-180,145,,229.5,-105,-114,-3.5,-115,3.5,-105,2025-10-22T23:15:00.000Z
2,261646,2025-10-23T00:00:00.000Z,Bulls vs Pistons,Bulls ML,122,3,97,COMPLETE LINE FLIP: Bulls ML went from +135 to +122 while Bulls money SURGED from 22% to 33%! Line moved from Pistons -3.5 to -2.5. Most importantly: Bulls spread money jumped from 60% to 57% while Bulls are now getting BETTER odds. Sharps loading Bulls.,118-115,0,1,0,0,0,0,130,-155,,236.5,-110,-110,3.5,-112,-3.5,-107,2025-10-22T23:15:00.000Z
3,261644,2025-10-22T23:30:00.000Z,Celtics vs 76ers,Celtics -4.5,-112,3,95,MASSIVE LINE MOVE: Spread moved from -2.5 to -4.5 (2 FULL POINTS)! Celtics ML went from -142 to -192. Celtics spread money climbed to 48% despite line moving against public. Total sharp push on Celtics blowout.,121-109,1,0,0,0,0,0,-192,162,,229.5,-109,-111,-5.0,-112,5.0,-107,2025-10-22T23:15:00.000Z
4,261647,2025-10-23T00:00:00.000Z,Bucks vs Wizards,Bucks -10.0,-114,3,94,SUSTAINED SHARP PUSH: Line holding near -10.0 (was -8.5). Bucks spread money at 69% (up from 44%). Over money climbed to 91% (was 75%). Sharps see massive blowout continuing.,127-108,1,0,0,0,0,0,-440,340,,227.5,-110,-110,-10.5,-107,10.5,-112,2025-10-22T23:15:00.000Z
5,261648,2025-10-23T00:00:00.000Z,Grizzlies vs Pelicans,Pelicans +4.5,-113,3,92,SHARP MONEY SUSTAINED: Pelicans money steady at 36% (up from 30%) while Pelicans spread tickets SURGED to 83% (was 45%). Line holding at -4.5 despite massive public shift. Sharps defending dog number.,116-118,0,0,1,0,0,0,-176,150,,236.5,-106,-110,-3.5,-115,3.5,-105,2025-10-22T23:15:00.000Z
6,261651,2025-10-23T02:00:00.000Z,Trail Blazers vs Timberwolves,Timberwolves -4.5,-110,3,90,CONTINUED DOMINANCE: Wolves spread money at 73% (was 45%). ML money at 92% (was 94%). Blazers spread tickets at 79% but line HELD. Over money surged to 90% (was 81%) - sharps see defensive Wolves blowout.,102-115,0,0,1,0,0,0,150,-185,,221.0,-110,-108,4.5,-110,-4.5,-110,2025-10-22T23:15:00.000Z
7,261544,2025-10-23T01:30:00.000Z,Mavericks vs Spurs,Spurs ML,125,3,88,SHARP SURGE CONFIRMED: Spurs money climbed to 46% (was 20% early). Spread money went from 36% to 47% on Mavs but that's DOWN from earlier. Spurs ML at +125 with 46% money is elite sharp value.,112-115,0,0,0,1,0,0,-155,130,,223.5,-112,-110,-3.5,-105,3.5,-115,2025-10-22T23:15:00.000Z
