rank,game_id,start_time,match,pick,odds,units,confidence_pct,reason,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,timestamp
1,261802,2025-11-18T00:00:00.000Z,Pistons vs Pacers,Pistons -11.5,-105,3,90,Fits the strongest historical trend: heavy home favorites (-8.5+) cover at a high rate. The reduced juice at -105 provides excellent value.,124-106,1,0,0,0,0,0,-550,410,,232.5,-115,-109.0,-11.5,-105,11.5,-115,2025-11-17T23:21:57.000Z
2,261808,2025-11-18T02:00:00.000Z,Nuggets vs Bulls,Nuggets -13.5,-110,2,88,Aligns with the profitable pattern of large home favorites covering. This has been a consistent winner in the historical data.,128-110,1,0,0,0,0,0,-850,575,,241.5,-105,-110.0,-13.5,-110,13.5,-110,2025-11-17T23:21:57.000Z
1,282895,2025-12-13T00:00:00.000Z,Pistons vs Hawks,Hawks +6.5,-105,3,91,"Strongest historical trend: Away underdogs >6 points have covered consistently (Clippers, Suns, Kings). Pistons are inconsistent favorites.",118-116,0,0,1,0,0,0,-270,230,,232.5,-115,-110.0,-6.5,-115,6.5,-105,2025-12-12T23:48:05.000Z
2,282894,2025-12-13T00:00:00.000Z,Wizards vs Cavaliers,Wizards +15.5,-105,2,84,"15.5 is an exceptionally large spread. Even in a blowout, garbage time variance favors the underdog covering such a high number.",110-122,1,0,0,0,0,0,750,-1200,,245.5,-115,-105.0,15.5,-105,-15.5,-115,2025-12-12T23:48:05.000Z
3,282898,2025-12-13T01:00:00.000Z,Grizzlies vs Jazz,Under 243.5,-110,2,82,This is the highest total on the board. Historical data shows regression to the mean on totals exceeding 240 (e.g. Jazz/Lakers).,118-112,0,0,0,0,0,1,-252,210,,243.5,-110,-110.0,-7.5,-110,7.5,-110,2025-12-12T23:48:05.000Z
4,282896,2025-12-13T00:00:00.000Z,Hornets vs Bulls,Hornets +2.5,-105,1,76,Following the Home Underdog value signal (similar to Pelicans yesterday). Bulls are volatile on the road.,115-113,1,0,0,0,0,0,120,-142,,229.5,-110,-110.0,2.5,-105,-2.5,-115,2025-12-12T23:48:05.000Z
3,261806,2025-11-18T01:00:00.000Z,Timberwolves vs Mavericks,Timberwolves -14.5,-105,2,87,"Prime example of the ""heavy home favorite"" strategy. A massive spread at reduced -105 juice is a strong signal based on past results.",127-110,1,0,0,0,0,0,-900,600,,231.5,-115,-110.0,-14.5,-105,14.5,-115,2025-11-17T23:21:57.000Z
4,261805,2025-11-18T00:30:00.000Z,Raptors vs Hornets,Raptors -8.5,-105,2,86,A mid-large home favorite at advantageous -105 odds. This spread band (-8.5) has been profitable in the provided history.,125-112,1,0,0,0,0,0,-355,280,,239.5,-112,-110.0,-8.5,-105,8.5,-115,2025-11-17T23:21:57.000Z
5,261803,2025-11-18T00:00:00.000Z,76ers vs Clippers,76ers -5.5,-112,2,85,"The historical data shows that mid-range home favorites (-5.5) have been a reliable bet, including a previous 76ers win on this exact line.",118-110,1,0,0,0,0,0,-214,180,,220.5,-111,-110.0,-5.5,-112,5.5,-109,2025-11-17T23:21:57.000Z
6,261801,2025-11-18T00:00:00.000Z,Cavaliers vs Bucks,Cavaliers -5.5,-115,2,84,"Follows the same profitable trend of backing stable, mid-range home favorites, which have consistently outperformed the spread.",121-114,1,0,0,0,0,0,-260,207,,235.5,-105,-110.0,-5.5,-115,5.5,-105,2025-11-17T23:21:57.000Z
