rank,game_id,start_time,match,pick,odds,units,confidence_pct,reason,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,timestamp
1,261740,2025-11-06T03:00:00.000Z,Kings vs Warriors,Kings -2.5,-112,2,86,"Warriors +2.5 holds majority spread tickets/money while Kings remain -2.5 with -112 juice, a contrarian home angle.",113-108,1,0,0,0,0,0,-142,120,,223.5,-110,-110,-2.5,-112,2.5,-109,2025-11-06T01:59:00.000Z
2,261736,2025-11-06T00:30:00.000Z,Knicks vs Timberwolves,Knicks -3.5,-105,2,84,Away spread saw higher ticket/money share while the home -3.5 is discounted at -105.,116-110,1,0,0,0,0,0,-148,124,,227.5,-110,-110,-3.5,-105,3.5,-115,2025-11-06T01:59:00.000Z
3,261739,2025-11-06T02:00:00.000Z,Nuggets vs Heat,Under 241.5,-110,2,83,Over is heavily bet up to 77% tickets; pricing on the under is steady at -110.,119-112,0,0,0,0,0,1,-395,310,,241.5,-109,-110,-9.5,-110,9.5,-110,2025-11-06T01:59:00.000Z
4,261734,2025-11-06T00:00:00.000Z,Cavaliers vs 76ers,Cavaliers -11.5,-105,2,82,"Market leaned to 76ers +11.5 by tickets/money, creating value on the favorite at -105.",123-109,1,0,0,0,0,0,-459,350,,235.5,-106,-110,-11.5,-105,11.5,-115,2025-11-06T01:59:00.000Z
1,282894,2025-12-13T00:00:00.000Z,Wizards vs Cavaliers,Cavaliers -15.5,-115,3,92,"Cleveland is a heavy road favorite (away_spread_last -15.5, away_money_line_last -1200) facing one of the league’s weakest defenses, and your historical results have generally profited backing strong contenders laying large numbers against bottom teams rather than taking big home underdogs.",129-111,0,0,1,0,0,0,750,-1200,N/A,245.5,-115,-105,15.5,-105,-15.5,-115,2025-12-12T23:48:00.000Z
2,282895,2025-12-13T00:00:00.000Z,Pistons vs Hawks,Pistons -6.5,-115,3,90,"Detroit is a solid home favorite (home_spread_last -6.5, home_money_line_last -270) and projects as an elite team hosting a middling Hawks side, matching past spots where backing home favorites in the 6–8 point range has produced strong returns in your log.",121-111,1,0,0,0,0,0,-270,230,N/A,232.5,-115,-110,-6.5,-115,6.5,-105,2025-12-12T23:48:00.000Z
3,282897,2025-12-13T00:00:00.000Z,76ers vs Pacers,76ers -5.5,-115,3,90,"Philadelphia is favored at home (home_spread_last -5.5, home_money_line_last -230) with a clear talent and defensive edge over Indiana, and your sheet shows better ROI riding quality home favorites than short road underdogs in these mid-spread ranges.",118-109,1,0,0,0,0,0,-230,190,N/A,220.5,-114,-114,-5.5,-115,5.5,-105,2025-12-12T23:48:00.000Z
4,282898,2025-12-13T01:00:00.000Z,Grizzlies vs Jazz,Grizzlies -7.5,-110,2,86,"Memphis is a home favorite by more than two possessions (home_spread_last -7.5, home_money_line_last -252) against a Jazz team that has struggled, fitting prior winning patterns of backing home sides between -7 and -10 versus weaker opponents.",123-112,1,0,0,0,0,0,-252,210,N/A,243.5,-110,-110,-7.5,-110,7.5,-110,2025-12-12T23:48:00.000Z
5,282899,2025-12-13T01:30:00.000Z,Mavericks vs Nets,Mavericks -7.5,-115,2,84,"Dallas is a strong home favorite (home_spread_last -7.5, home_money_line_last -325) over a Nets squad near the bottom of the standings, aligning with prior successes backing high-offense home teams laying around 7–9 points.",120-108,1,0,0,0,0,0,-325,255,N/A,221.5,-112,-108,-7.5,-115,7.5,-105,2025-12-12T23:48:00.000Z
6,282895,2025-12-13T00:00:00.000Z,Pistons vs Hawks,Under 232.5,-115,2,83,"The total is 232.5 with balanced odds and both previews point to strong defensive potential, echoing prior under wins in your history when totals sit in the low-230s and at least one side can tighten up defensively.",121-111,0,0,0,0,0,1,-270,230,N/A,232.5,-115,-110,-6.5,-115,6.5,-105,2025-12-12T23:48:00.000Z
