rank,game_id,start_time,match,pick,odds,units,confidence_pct,reason,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,timestamp​
1,261740,2025-11-06T03:00:00.000Z,Kings vs Warriors,Kings -2.5,-112,2,86,"Warriors +2.5 holds majority spread tickets/money while Kings remain -2.5 with -112 juice, a contrarian home angle.",113-108,1,0,0,0,0,0,-142,120,N/A,223.5,-110,-110,-2.5,-112,2.5,-109,2025-11-06T01:59:00Z​
2,261736,2025-11-06T00:30:00.000Z,Knicks vs Timberwolves,Knicks -3.5,-105,2,84,"Away spread saw higher ticket/money share while the home -3.5 is discounted at -105.",116-110,1,0,0,0,0,0,-148,124,N/A,227.5,-110,-110,-3.5,-105,3.5,-115,2025-11-06T01:59:00Z​
3,261739,2025-11-06T02:00:00.000Z,Nuggets vs Heat,Under 241.5,-110,2,83,"Over is heavily bet up to 77% tickets; pricing on the under is steady at -110.",119-112,0,0,0,0,0,1,-395,310,N/A,241.5,-109,-110,-9.5,-110,9.5,-110,2025-11-06T01:59:00Z​
4,261734,2025-11-06T00:00:00.000Z,Cavaliers vs 76ers,Cavaliers -11.5,-105,2,82,"Market leaned to 76ers +11.5 by tickets/money, creating value on the favorite at -105.",123-109,1,0,0,0,0,0,-459,350,N/A,235.5,-106,-110,-11.5,-105,11.5,-115,2025-11-06T01:59:00Z​
5,261733,2025-11-06T00:00:00.000Z,Pacers vs Nets,Under 232.5,-110,2,81,"Over drew ~75% tickets with under available at -110; siding with the contrarian total.",114-108,0,0,0,0,0,1,-262,212,N/A,232.5,-114,-110,-6.5,-110,6.5,-110,2025-11-06T01:59:00Z​
6,261741,2025-11-06T03:00:00.000Z,Trail Blazers vs Thunder,Under 231.5,-110,2,80,"Over interest was extreme (low 90s% tickets) while the under holds standard -110.",112-111,0,0,0,0,0,1,145,-172,N/A,231.5,-108,-110,3.5,-105,-3.5,-115,2025-11-06T01:59:00Z​
7,261732,2025-11-06T00:00:00.000Z,Pistons vs Jazz,Pistons -9.5,-110,1,79,"Dog spread took more tickets/money; favorite -9.5 at -110 with improving number from -10.5.",121-110,1,0,0,0,0,0,-452,350,N/A,233.0,-110,-110,-9.5,-110,9.5,-110,2025-11-06T01:59:00Z​
8,261742,2025-11-06T03:00:00.000Z,Lakers vs Spurs,Lakers -1.5,105,1,78,"Near pick’em MLs but home -1.5 available at plus odds 105.",114-111,1,0,0,0,0,0,-117,-102,N/A,227.5,-115,-114,-1.5,105,1.5,-122,2025-11-06T01:59:00Z
1,261564,2025-11-08T01:00:00.000Z,Timberwolves vs Jazz,Timberwolves -14.5,-105,2,86,"Home favorite remains -14.5 at -105 while the dog takes interest; laying points with the superior side at current price.",124-105,1,0,0,0,0,0,-1050,675,N/A,229.5,-115,-105,-14.5,-105,14.5,-115,2025-11-06T17:41:00Z​
2,261568,2025-11-08T03:00:00.000Z,Nuggets vs Warriors,Under 235.5,-105,2,85,"Market leans over at -115, making the -105 under a favorable contrarian position at this total.",118-112,0,0,0,0,0,1,-207,171,N/A,235.5,-115,-105,-5.5,-110,5.5,-110,2025-11-06T17:41:00Z​
3,261743,2025-11-07T02:00:00.000Z,Suns vs Clippers,Under 224.5,-110,2,84,"Over interest is heavy yet the book holds 224.5 with symmetrical pricing, supporting the under.",112-108,0,0,0,0,0,1,-155,130,N/A,224.5,-110,-110,-3.5,-105,3.5,-115,2025-11-06T17:41:00Z​
4,261565,2025-11-08T01:00:00.000Z,Heat vs Hornets,Under 238.5,-109,2,83,"Elevated total with majority over exposure and a shaded -109 under offers value.",122-109,0,0,0,0,0,1,-265,215,N/A,238.5,-115,-109,-6.5,-110,6.5,-110,2025-11-06T17:41:00Z​
5,261563,2025-11-08T00:30:00.000Z,Nets vs Pistons,Pistons -8.5,-110,2,82,"Away favorite -8.5 at -110 against a home dog drawing attention fits the spread profile.",104-116,0,0,1,0,0,0,275,-345,N/A,228.5,-105,-115,8.5,-110,-8.5,-110,2025-11-06T17:41:00Z​
6,261567,2025-11-08T01:00:00.000Z,Bucks vs Bulls,Under 242.5,-109,2,81,"Public leans over while -109 under at this high total presents a better side.",121-112,0,0,0,0,0,1,-192,160,N/A,242.5,-105,-109,-4.5,-110,4.5,-110,2025-11-06T17:41:00Z​
7,261562,2025-11-08T00:30:00.000Z,Hawks vs Raptors,Under 234.5,-115,2,80,"Totals market tilted over yet the book prices the under -115, indicating value on the under.",116-112,0,0,0,0,0,1,102,-122,N/A,234.5,-105,-115,1.5,-110,-1.5,-110,2025-11-06T17:41:00Z​
8,261561,2025-11-08T00:30:00.000Z,Spurs vs Rockets,Rockets -2.0,-110,1,79,"Road favorite -2.0 at standard juice with home interest on the dog creates an away spread edge.",112-116,0,0,1,0,0,0,110,-130,N/A,226.5,-110,-110,2.0,-110,-2.0,-110,2025-11-06T17:41:00Z
1,261564,2025-11-08T01:00:00.000Z,Timberwolves vs Jazz,Timberwolves -12.5,-115,2,86,"Home is favored with home_spread_last -12.5 and home_spread_odds_last -115, matching the moneyline edge at home_money_line_last -774.",125-108,1,0,0,0,0,0,-774,500,N/A,230.5,-115,-105,-12.5,-115,12.5,-105,2025-11-07T15:15:00Z​
2,261559,2025-11-08T00:00:00.000Z,Wizards vs Cavaliers,Cavaliers -13.5,-110,2,85,"Away favorite aligns with away_spread_last -13.5 at -110 and away_money_line_last -750 against a big home dog.",109-125,0,0,1,0,0,0,540,-750,N/A,236.5,-111,-110,13.5,-110,-13.5,-110,2025-11-07T15:15:00Z​
3,261563,2025-11-08T00:30:00.000Z,Nets vs Pistons,Pistons -10.5,-110,2,84,"Away_spread_last is -10.5 at -110 and away_money_line_last -410 supports laying points.",104-116,0,0,1,0,0,0,321,-410,N/A,227.5,-115,-115,10.5,-110,-10.5,-110,2025-11-07T15:15:00Z​
4,261568,2025-11-08T03:00:00.000Z,Nuggets vs Warriors,Under 229.5,-110,2,83,"Total_score_last is 229.5 with symmetrical -110/-110, making the under a value lean at this number.",118-110,0,0,0,0,0,1,-322,260,N/A,229.5,-110,-110,-7.5,-110,7.5,-110,2025-11-07T15:15:00Z​
5,261565,2025-11-08T01:00:00.000Z,Heat vs Hornets,Under 242.5,-110,2,82,"Elevated total_score_last 242.5 with under_odds_last -110 offers downside value.",121-110,0,0,0,0,0,1,-217,181,N/A,242.5,-105,-110,-5.5,-115,5.5,-105,2025-11-07T15:15:00Z​
6,261567,2025-11-08T01:00:00.000Z,Bucks vs Bulls,Under 241.5,-105,2,81,"High total_score_last 241.5 priced -105 to the under presents reduced juice.",120-112,0,0,0,0,0,1,-166,142,N/A,241.5,-115,-105,-3.5,-115,3.5,-105,2025-11-07T15:15:00Z​
7,261562,2025-11-08T00:30:00.000Z,Hawks vs Raptors,Raptors -1.5,105,1,79,"Away_spread_last is -1.5 with away_spread_odds_last 105 and away_money_line_last -115 indicating slight road favoritism.",112-115,0,0,1,0,0,0,-105,-115,N/A,234.5,-105,-110,1.5,-118,-1.5,105,2025-11-07T15:15:00Z​
8,261561,2025-11-08T00:30:00.000Z,Spurs vs Rockets,Rockets -2.5,-115,1,78,"Away_spread_last -2.5 at -115 matches away_money_line_last -134 for the road favorite.",110-114,0,0,1,0,0,0,114,-134,N/A,223.5,-115,-110,2.5,-105,-2.5,-115,2025-11-07T15:15:00Z
1,261751,2025-11-09T03:30:00.000Z,Clippers vs Suns,Clippers -5.5,-105,2,87,"Home_spread_last -5.5 at -105 with home_money_line_last -202 confirms the home favorite at reduced juice.",116-108,1,0,0,0,0,0,-202,168,N/A,227.5,-110,-110,-5.5,-105,5.5,-115,2025-11-08T15:23:00Z​
2,261750,2025-11-09T02:00:00.000Z,Nuggets vs Pacers,Nuggets -12.0,-110,2,86,"Home_spread_last -12.0 and home_money_line_last -600 indicate a strong home edge to lay double digits.",126-108,1,0,0,0,0,0,-600,440,N/A,235.5,-110,-110,-12.0,-110,12.0,-110,2025-11-08T15:23:00Z​
