rank,game_id,start_time,match,pick,odds,units,confidence_pct,reason,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,timestamp
1,266367,2025-11-11T23:30:00.000Z,Michigan vs Wake Forest,Wake Forest +15.5,-108,3,90,"Early-season double-digit dog fade of a heavily priced home favorite; majority spread sides underperform in Nov–Jan, improving ROI by taking inflated numbers [web:6][web:25][web:13].",84-72,0,0,1,0,0,0,-1600.0,990,,168.5,-110,-110,-15.5,-112,15.5,-108,2025-11-11T09:53:25.000Z
2,264701,2025-11-12T01:30:00.000Z,Illinois vs Texas Tech,Illinois -3.5,-115,2,84,"Short home favorite within typical non-conference HCA band (~3–3.5), avoiding big-chalk volatility; edge to modest home favorite over coin-flip public splits [web:13][web:6][web:25].",86-80,1,0,0,0,0,0,-180.0,147,,167.5,-115,-110,-3.5,-115,3.5,-105,2025-11-11T09:53:25.000Z
3,266649,2025-11-12T03:00:00.000Z,Gonzaga vs Creighton,Creighton +11.5,-110,1,79,Quality opponent catching double digits versus brand-name power; majority spread sides near 50% ATS and early-season fade angle favors dogs [web:6][web:25][web:13].,85-77,0,0,1,0,0,0,-924.0,550,,165.5,-105,-115,-11.5,-110,11.5,-110,2025-11-11T09:53:25.000Z
4,264732,2025-11-12T01:00:00.000Z,Louisville vs Kentucky,Kentucky +6.5,-112,1,78,Rivalry with live road dog under a TD; fading home majority angles in Nov–Jan historically reduces ROI drag on favorites [web:6][web:13][web:25].,84-79,0,0,1,0,0,0,-270.0,220,,173.5,-115,-108,-6.5,-108,6.5,-112,2025-11-11T09:53:25.000Z
5,264731,2025-11-12T00:00:00.000Z,Florida vs Florida St,Florida St +17.5,-111,1,77,In-state dog at +3+ possessions vs a strong home brand; double-digit dog cover paths align with early-season favorite inefficiency [web:6][web:25][web:13].,88-74,0,0,1,0,0,0,-3297.0,1200,,180.5,-105,-112,-17.5,-110,17.5,-111,2025-11-11T09:53:25.000Z
6,264714,2025-11-12T01:00:00.000Z,Kansas vs Texas A&M-CC,Texas A&M-CC +27,-110,1,72,"Extreme spread inflation spot; big fav ATS performance is near breakeven long-term, so variance favors taking very high numbers [web:6][web:25][web:13].",93-66,0,0,1,0,0,0,-10000.0,3500,,147.5,-105,-115,-27.0,-110,27.0,-110,2025-11-11T09:53:25.000Z
7,266359,2025-11-12T01:00:00.000Z,Auburn vs Wofford,Wofford +27.5,-110,1,72,Large non-conference home favorite fade; taking heavy points in November improves robustness against public bias [web:6][web:13][web:25].,92-67,0,0,1,0,0,0,-10000.0,1600,,154.5,-105,-115,-27.5,-110,27.5,-110,2025-11-11T09:53:25.000Z
8,264709,2025-11-12T01:30:00.000Z,Wisconsin vs Ball State,Ball State +27.5,-115,1,71,Similar extreme spread setup; dog covers benefit from endgame variance and slower tempos common to Big Ten styles [web:6][web:25][web:13].,85-59,0,0,1,0,0,0,-10000.0,2500,,157.5,-110,-110,-27.5,-105,27.5,-115,2025-11-11T09:53:25.000Z
9,264718,2025-11-12T02:00:00.000Z,BYU vs Delaware,Delaware +35.5,-108,1,71,Ultra-high spread where underdog backdoor and rotation depth mitigate late blowout risk; early-season fav fade [web:6][web:25][web:13].,97-65,0,0,1,0,0,0,-20000.0,2200,,163.5,-115,-105,-35.5,-112,35.5,-108,2025-11-11T09:53:25.000Z
10,271994,2025-11-12T02:00:00.000Z,Arizona vs N. Arizona,N. Arizona +35.5,-105,1,71,Another ultra-high number vs elite home brand; systematic fade of inflated chalk in non-conference [web:6][web:25][web:13].,98-66,0,0,1,0,0,0,-6500.0,2000,,162.5,-110,-110,-35.5,-115,35.5,-105,2025-11-11T09:53:25.000Z
