rank,game_id,start_time,match,pick,odds,units,confidence_pct,reason,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,timestamp
1,265758,2025-11-27T17:45:00.000Z,Fenerbahce vs Ferencvaros,Fenerbahce -1.5,152,3,95,"Historical ROI for favorite spreads with positive odds is 57%, favoring value on favorite spreads.",3-0,1,0,0,0,0,0,-182,450,340,2.5,-157,120,-1.5,152,1.5,-190,2025-11-26T17:00:00Z
2,265757,2025-11-27T17:45:00.000Z,PAOK vs Brann,PAOK -1.5,150,3,92,"Historical ROI for favorite spreads with positive odds is 57%, favoring value on favorite spreads.",3-1,1,0,0,0,0,0,-182,487,333,2.5,-144,112,-1.5,150,1.5,-192,2025-11-26T17:00:00Z
3,265904,2025-11-27T17:45:00.000Z,Lille vs Zagreb,Lille -1.5,135,3,90,"Historical ROI for favorite spreads with positive odds is 57%, favoring value on favorite spreads.",3-0,1,0,0,0,0,0,-189,475,345,2.5,-152,119,-1.5,135,1.5,-190,2025-11-26T17:00:00Z
4,265909,2025-11-27T20:00:00.000Z,Go Ahead Eagles vs Stuttgart,Stuttgart -1.5,130,2,88,"Historical ROI for favorite spreads with positive odds is 57%, favoring value on favorite spreads.",0-3,0,0,1,0,0,0,500,-200,360,2.5,-185,138,1.5,-182,-1.5,130,2025-11-26T17:00:00Z
5,265764,2025-11-27T20:00:00.000Z,Belgrade vs Steaua,Belgrade -1.5,125,2,85,"Historical ROI for favorite spreads with positive odds is 57%, favoring value on favorite spreads.",3-1,1,0,0,0,0,0,-204,520,350,2.5,-147,115,-1.5,125,1.5,-182,2025-11-26T17:00:00Z
6,265760,2025-11-27T17:45:00.000Z,Roma vs Midtjylland,Roma -1.5,120,2,85,"Historical ROI for favorite spreads with positive odds is 57%, favoring value on favorite spreads.",3-1,1,0,0,0,0,0,-210,529,360,2.5,-160,122,-1.5,120,1.5,-165,2025-11-26T17:00:00Z
7,265756,2025-11-27T17:45:00.000Z,Viktoria vs Freiburg,Freiburg -0.5,110,2,82,"Historical ROI for favorite spreads with positive odds is 57%, favoring value on favorite spreads.",0-2,0,0,1,0,0,0,220,125,240,2.5,-104,-121,0.5,-160,-0.5,110,2025-11-26T17:00:00Z
8,265759,2025-11-27T17:45:00.000Z,Porto vs Nice,Porto -1.5,110,2,82,"Historical ROI for favorite spreads with positive odds is 57%, favoring value on favorite spreads.",3-1,1,0,0,0,0,0,-244,600,380,2.5,-130,101,-1.5,110,1.5,-160,2025-11-26T17:00:00Z
9,265761,2025-11-27T20:00:00.000Z,Rangers vs Braga,Braga -0.5,115,2,80,"Historical ROI for favorite spreads with positive odds is 57%, favoring value on favorite spreads.",1-2,0,0,1,0,0,0,220,125,240,2.5,-110,-115,0.5,-160,-0.5,115,2025-11-26T17:00:00Z
10,265910,2025-11-27T20:00:00.000Z,Bologna vs Red Bull,Bologna -1.5,105,2,80,"Historical ROI for favorite spreads with positive odds is 57%, favoring value on favorite spreads.",3-1,1,0,0,0,0,0,-250,650,375,2.5,-140,110,-1.5,105,1.5,-145,2025-11-26T17:00:00Z
