rank,game_id,start_time,match,pick,odds,units,confidence_pct,reason,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,timestamp
1,264701,2025-11-12T01:30:00.000Z,Illinois vs Texas Tech,Over 168.5,-105,3,92,Strong over movement with 69% tickets and 69% money on the over. Line moved up from 167.5 to 168.5 and public still hammering over. Both teams can score and the consensus is overwhelming. Illinois home games tend to be high-scoring.,90-82,0,0,0,0,1,0,-180,145,N/A,168.5,-105,-110,-3.5,-115,3.5,-105,2025-11-11 14:10:22.997974
2,264732,2025-11-12T01:00:00.000Z,Louisville vs Kentucky,Louisville -6.5,-110,3,90,Louisville strengthening despite spread staying at -6.5. ML moved from -270 to -252 showing some Creighton money but spread still getting 71% tickets and 77% money on Louisville. Home rivalry game with manageable spread. Public and sharp money aligned on Louisville spread.,91-83,1,0,0,0,0,0,-252,205,N/A,173.5,-110,-110,-6.5,-110,6.5,-110,2025-11-11 14:10:22.997974
3,264721,2025-11-12T00:00:00.000Z,UNC vs Radford,UNC -19.5,-112,3,88,Line moved from -18.5 to -19.5 showing sharp money on UNC. Despite increased spread still getting 62% tickets and massive 80% money on UNC spread. The sharp money is willing to lay more points. Home favorite in complete control.,98-75,1,0,0,0,0,0,-2400,1500,N/A,162.5,-109,-110,-19.5,-112,19.5,-107,2025-11-11 14:10:22.997974
4,266367,2025-11-11T23:30:00.000Z,Michigan vs Wake Forest,Under 168.5,-110,2,85,Line stayed at 168.5 but under tickets jumped from 37% to 54% and under money from 37% to 52%. Public flipping to under as game approaches. Michigan defense at home should control tempo against Wake Forest.,89-74,0,0,0,0,0,1,-1600,950,N/A,168.5,-108,-110,-15,-110,15,-110,2025-11-11 14:10:22.997974
5,266649,2025-11-12T03:00:00.000Z,Gonzaga vs Creighton,Over 165.5,-105,2,84,Massive line movement - over tickets surged from 27% to 57% and over money from 26% to 56%. Complete reversal in public sentiment. Both teams can score and this should be a high-tempo game. The sharp money shifted dramatically to the over.,88-82,0,0,0,0,1,0,-774,532,N/A,165.5,-105,-115,-11.5,-112,11.5,-108,2025-11-11 14:10:22.997974
6,264731,2025-11-12T00:00:00.000Z,Florida vs Florida St,Florida St +17.5,-110,2,82,Away spread tickets increased to 68% and away spread money to 49%. Florida getting 93% ML tickets but only 60% ML money shows public sharp split. FSU has covered well as big underdogs historically in rivalry games. 17.5 is a lot of points.,89-76,0,0,1,0,0,0,-3297,1200,N/A,180.5,-105,-112,-17.5,-111,17.5,-110,2025-11-11 14:10:22.997974
7,264718,2025-11-12T02:00:00.000Z,BYU vs Delaware,Over 164.5,-108,2,80,Over movement from 36% to 49% tickets and 37% to 50% money. Line moved from 163.5 to 164.5 and public still pushing over. BYU can score in bunches at home and will push tempo against overmatched Delaware.,103-68,0,0,0,0,1,0,-20000,2200,N/A,164.5,-108,-112,-36.5,-105,36.5,-115,2025-11-11 14:10:22.997974
8,271994,2025-11-12T02:00:00.000Z,Arizona vs N. Arizona,Over 162.5,-105,2,78,Over tickets jumped from 47% to 66% and over money from 45% to 65%. Strong late movement to over. Arizona will score at will at home and should push tempo. In-state rivalry often produces more scoring than expected.,98-71,0,0,0,0,1,0,-6500,2000,N/A,162.5,-105,-115,-35.5,-115,35.5,-105,2025-11-11 14:10:22.997974
9,264714,2025-11-12T01:00:00.000Z,Kansas vs Texas A&M-CC,Over 147.5,-105,1,76,Over tickets increased to 72% and over money to 72%. Line stayed at 147.5 despite overwhelming over action suggesting books respect the over. Kansas at home should dominate and score frequently. Low total makes over attractive.,89-63,0,0,0,0,1,0,-10000,3500,N/A,147.5,-105,-114,-27.5,-114,27.5,-106,2025-11-11 14:10:22.997974
10,264709,2025-11-12T01:30:00.000Z,Wisconsin vs Ball State,Ball State +27.5,-110,1,74,Huge movement - away spread tickets from 72% to 93% and away money from 35% to 71%. Sharp money pounding Ball State despite 27.5 points. Wisconsin offense has been inconsistent and this is a bigger spread than it should be.,84-64,0,0,1,0,0,0,-10000,2500,N/A,157.5,-110,-110,-27.5,-110,27.5,-110,2025-11-11 14:10:22.997974
