rank,game_id,start_time,match,home_team,away_team,pick,odds,units,confidence_pct,reason,reason_code,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,timestamp
1,264881,2025-11-19T02:00:00.000Z,Duke vs Kansas,Duke,Kansas,Duke -10.5,-110,3,96,"Overwhelming sharp money. The public (70% tickets) is on Duke, but the money is massively skewed (87%), showing the largest wagers are heavily backing Duke.",SHARP_MONEY_SPREAD,85-70,1,0,0,0,0,0,-600,445,N/A,150.5,-110,-110,-10.5,-110,10.5,-110,2025-11-17 14:55:34.670526
2,264866,2025-11-18T23:30:00.000Z,Kentucky vs Michigan St,Kentucky,Michigan St,Kentucky -5.5,-110,3,94,"Strong sharp money. While the public is on Kentucky (67% tickets), the money is even more lopsided (81%), indicating big bets are confident in Kentucky covering.",SHARP_MONEY_SPREAD,80-72,1,0,0,0,0,0,-245,200,N/A,154.5,-110,-110,-5.5,-110,5.5,-110,2025-11-17 14:55:34.670526
3,264849,2025-11-18T00:00:00.000Z,NC State vs VCU,NC State,VCU,NC State -11.5,-115,3,92,"Classic sharp money. The ticket % is nearly 50/50 (52% on NC State), but the money % is heavily skewed (72% on NC State), indicating large bets are on the home team.",SHARP_MONEY_SPREAD,88-74,1,0,0,0,0,0,-900,600,N/A,164.5,-110,-110,-11.5,-115,11.5,-105,2025-11-17 14:55:34.670526
4,267346,2025-11-18T00:00:00.000Z,Siena vs Colgate,Siena,Colgate,Siena -6.5,-113,3,90,"Sharp vs. Public split. The public (62% of tickets) is on the away underdog, but the money (59%) is on the home favorite, Siena. Following the sharp money.",SHARP_MONEY_SPREAD,76-68,1,0,0,0,0,0,-290,235,N/A,146.0,-109,-112,-6.5,-113,6.5,-107,2025-11-17 14:55:34.670526
5,267629,2025-11-18T00:00:00.000Z,UCF vs Oakland,UCF,Oakland,UCF -13.5,-110,2,88,"Sharp money on the home favorite. The public (56% of tickets) is on Oakland, but the money (62%) is on UCF, showing a clear split between small and large wagers.",SHARP_MONEY_SPREAD,84-68,1,0,0,0,0,0,-1100,700,N/A,162.5,-115,-111,-13.5,-110,13.5,-110,2025-11-17 14:55:34.670526
6,264847,2025-11-18T01:00:00.000Z,K State vs Tulsa,K State,Tulsa,Tulsa +12.5,-115,2,85,"Strong consensus on the away underdog. Both the public (74% of tickets) and the sharp money (77%) are backing Tulsa to cover the spread.",CONSENSUS_DOG,80-70,0,0,1,0,0,0,-900,582,N/A,161.0,-110,-110,-12.5,-105,12.5,-115,2025-11-17 14:55:34.670526
7,264863,2025-11-18T00:00:00.000Z,Dolphins vs Niagara,Dolphins,Niagara,Niagara +2.5,-112,2,82,"Mild sharp indicator. The moneyline split shows sharper money is on the away team (47% of tickets = 60% of money), and the public/sharps are aligned on the spread.",SHARP_MONEY_SPREAD,68-70,0,0,1,0,0,0,-135,114,N/A,138.5,-105,-115,-2.5,-107,2.5,-112,2025-11-17 14:55:34.670526
8,264859,2025-11-18T00:00:00.000Z,Tenn Tech vs Wolves,Tenn Tech,Wolves,Tenn Tech -4.5,-110,2,80,"Both the public (68% of tickets) and the heavier money (73%) are backing the home favorite, indicating a strong consensus.",CONSENSUS_FAV,81-74,1,0,0,0,0,0,-192,160,N/A,152.5,-110,-110,-4.5,-110,4.5,-110,2025-11-17 14:55:34.670526
9,264848,2025-11-18T00:00:00.000Z,Pittsburgh vs Bucknell,Pittsburgh,Bucknell,Pittsburgh -15.5,-111,1,78,"The public is piling on the away underdog (79% of tickets on Bucknell). This is a contrarian ""fade the public"" spot, taking the unpopular home favorite.",CONTRARIAN_HOME_FAV,82-65,1,0,0,0,0,0,-1800,1000,N/A,141.5,-115,-105,-15.5,-111,15.5,-109,2025-11-17 14:55:34.670526
10,264851,2025-11-18T02:00:00.000Z,Clemson vs North Alabama,Clemson,North Alabama,Under 144.5,-108,1,76,"Fading the lopsided public on a total (81% of tickets are on the Over). This contrarian play aligns with my new strategy to correct for past failures on 'Over' picks.",FADE_PUBLIC_TOTAL,75-60,0,0,0,0,0,1,-9000,2500,N/A,144.5,-112,-108,-25.5,-112,25.5,-108,2025-11-17 14:55:34.670526
