rank,game_id,match,pick,odds,units,confidence_pct,reason,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,model,start_time,start_time_pt,timestamp,date
1,261541,Thunder vs Rockets,Rockets +6.5,-110,3,96,EXTREME SHARP DIVERGENCE: Thunder money DROPPED from 44% to 59% despite 86% tickets. Line moved from -7.5 to -6.5. Most importantly: Rockets ML odds improved from +250 to +205 while Rockets money FELL from 56% to 41% - books baiting public onto Thunder. Classic trap.,115-113,0,0,1,0,0,0,-255,205,,225.5,-115,-105,-6.5,-110,6.5,-110,claude,2025-10-21T23:30:00.000Z,2025-10-21 16:30:00-07:00,2025-10-22 15:30:00+00:00,2025-10-21
2,261646,Bulls vs Pistons,Pistons -4.5,-105,3,93,CONFIRMED SHARP MOVE: Line now at -4.5 (was -3.5). Pistons money climbed to 82% while Bulls tickets stay at 65%. Spread money went from 60% Bulls to 54% Pistons despite full point line move AGAINST public. Elite sharp action.,113-121,0,0,1,0,0,0,140,-170,,232.5,-115,-107,4.5,-115,-4.5,-105,claude,2025-10-23T00:00:00.000Z,2025-10-22 17:00:00-07:00,2025-10-22 15:30:00+00:00,2025-10-22
3,261543,Knicks vs Cavaliers,Cavaliers ML,-118,3,92,LINE FLIP CONFIRMED: Complete reversal from Knicks -2.5 to Cavs now favored at -118. No change in latest data - line has stabilized at Cavs favored. Cavaliers money at 23% looks low but that's AFTER the line moved - early sharp money forced the flip.,112-115,0,0,0,1,0,0,-105,-118,,227.5,-114,-108,1.5,-111,-1.5,-109,claude,2025-10-22T23:00:00.000Z,2025-10-22 16:00:00-07:00,2025-10-22 15:30:00+00:00,2025-10-22
4,261651,Trail Blazers vs Timberwolves,Timberwolves -4.5,-110,3,90,"NO CHANGE - STILL ELITE: Line held at -4.5, ML at -185, money at 95%. Spread tickets went to 71% Blazers but line didn't budge - sharps have this pegged at -4.5 minimum. Blazers +4.5 getting crushed by public which is always a good sign for the favorite.",104-116,0,0,1,0,0,0,150,-185,,221.5,-110,-110,4.5,-110,-4.5,-110,claude,2025-10-23T02:00:00.000Z,2025-10-22 19:00:00-07:00,2025-10-22 15:30:00+00:00,2025-10-22
5,261642,Magic vs Heat,Magic -8.5,-105,3,88,"OVER SURGE CONFIRMS: Magic spread money dropped to 20% (was 39%) but line held -8.5. More importantly, Over money EXPLODED to 87% (was 79%). Sharps see blowout with points - Magic covers and over hits.",115-102,1,0,0,0,0,0,-360,290,,217.5,-110,-109,-8.5,-105,8.5,-115,claude,2025-10-22T23:00:00.000Z,2025-10-22 16:00:00-07:00,2025-10-22 15:30:00+00:00,2025-10-22
6,261645,Hawks vs Raptors,Hawks -5.5,-110,3,85,SHARP ML BACKING: Hawks money steady at 71% on ML (up from 62%). Line improved slightly to -218 from -220. Raptors spread tickets at 81% but line holding perfectly at -5.5. Sharps backing Hawks straight up.,124-116,1,0,0,0,0,0,-218,180,,235.5,-108,-112,-5.5,-110,5.5,-110,claude,2025-10-22T23:30:00.000Z,2025-10-22 16:30:00-07:00,2025-10-22 15:30:00+00:00,2025-10-22
7,261648,Grizzlies vs Pelicans,Grizzlies ML,-190,2,80,CHANGED FROM PELICANS: Pelicans ML odds got WORSE (160 to 155) despite spread tickets surging to 72%. This is books adjusting for sharp Grizzlies ML money at 70%. Taking the favorite ML instead of the spread based on odds movement.,119-114,0,1,0,0,0,0,-190,155,,237.0,-112,-107,-4.5,-114,4.5,-107,claude,2025-10-23T00:00:00.000Z,2025-10-22 17:00:00-07:00,2025-10-22 15:30:00+00:00,2025-10-22
8,261649,Jazz vs Clippers,Clippers -10.5,-110,2,78,LINE STRENGTHENED: Spread now -10.5 (was -9.5). Jazz ML got worse from +310 to +340. Clippers ML went from -395 to -440. Every indicator points to Clippers blowout. Getting full 10.5 points of cushion.,106-121,0,0,1,0,0,0,340,-440,,226.5,-113,-108,10.5,-110,-10.5,-110,claude,2025-10-23T01:00:00.000Z,2025-10-22 18:00:00-07:00,2025-10-22 15:30:00+00:00,2025-10-22
9,261643,Hornets vs Nets,Hornets -5.5,-109,2,74,STABLE WITH SHARP SUPPORT: No change in line. Hornets money consistent at 82% on ML. Spread tickets at 86% Nets but line holding - sharps defending -5.5 number. Over money at 80% suggests high-scoring Hornets win.,119-112,1,0,0,0,0,0,-198,166,,228.5,-110,-110,-5.5,-109,5.5,-112,claude,2025-10-22T23:00:00.000Z,2025-10-22 16:00:00-07:00,2025-10-22 15:30:00+00:00,2025-10-22
10,261542,Lakers vs Warriors,Warriors ML,-145,2,70,CHANGED FROM LAKERS: Warriors ML got stronger from -136 to -145 despite Lakers tickets at 58%. Warriors money climbed to 48% (from 42%). Spread holding at -2.5 but ML movement shows sharp money on Warriors. Taking the road favorite.,114-117,0,0,0,1,0,0,120,-145,,227.5,-109,-110,2.5,-108,-2.5,-112,claude,2025-10-22T02:00:00.000Z,2025-10-21 19:00:00-07:00,2025-10-22 15:30:00+00:00,2025-10-21
1,261543,Knicks vs Cavaliers,Cavaliers ML,-118,3,95,MASSIVE REVERSE LINE MOVEMENT: Line flipped from Knicks -2.5 to Cavs -1.5 (now pick'em at -118). Cavaliers money surged from 37% to 23% while ML shifted from +120 to -118. Sharp money forcing complete line reversal.,112-115,0,0,0,1,0,0,-105,-118,,227.5,-114,-108,1.5,-111,-1.5,-109,claude,2025-10-22T23:00:00.000Z,2025-10-22 16:00:00-07:00,2025-10-22 11:30:00+00:00,2025-10-22
3,261651,Trail Blazers vs Timberwolves,Timberwolves -4.5,-110,3,90,DOMINANT SHARP CONSENSUS: Line moved full point from -3.5 to -4.5. ML odds went from -166 to -185. Money increased 94% to 95%. Spread tickets went from 59% Blazers to 71% Blazers but spread moved TOWARD Wolves - classic sharp vs public split.,104-116,0,0,1,0,0,0,150,-185,,221.5,-110,-110,4.5,-110,-4.5,-110,claude,2025-10-23T02:00:00.000Z,2025-10-22 19:00:00-07:00,2025-10-22 11:30:00+00:00,2025-10-22
4,261642,Magic vs Heat,Magic -8.5,-105,3,88,"SHARP MONEY SURGE: Line holding at -8.5 but Magic spread money exploded from 39% to 21% on the spread AGAINST Magic, yet line didn't move. Magic ML money surged from 73% to 77%. Over money went 79% to 87% - sharps hammering Magic and Over.",113-102,1,0,0,0,0,0,-360,290,,217.5,-110,-109,-8.5,-105,8.5,-115,claude,2025-10-22T23:00:00.000Z,2025-10-22 16:00:00-07:00,2025-10-22 11:30:00+00:00,2025-10-22
5,261645,Hawks vs Raptors,Hawks -5.5,-110,3,86,SHARP BACKING FAVORITE: Hawks money increased from 62% to 71% on ML. Spread money dropped from 32% to 21% on Hawks side but line held at -5.5 - sharps taking favorite straight up. Public on Raptors +5.5 (81% tickets) creates value.,124-116,1,0,0,0,0,0,-220,180,,235.5,-108,-112,-5.5,-110,5.5,-110,claude,2025-10-22T23:30:00.000Z,2025-10-22 16:30:00-07:00,2025-10-22 11:30:00+00:00,2025-10-22
6,261648,Grizzlies vs Pelicans,Pelicans +4.5,-105,2,82,REVERSE LINE MOVEMENT: Grizzlies spread tickets went from 45% to 28% while Pelicans jumped to 72% tickets. Line held at -4.5 despite massive public shift TO Pelicans - indicates sharp resistance on the dog.,116-118,0,0,1,0,0,0,-192,160,,237.0,-112,-107,-4.5,-114,4.5,-105,claude,2025-10-23T00:00:00.000Z,2025-10-22 17:00:00-07:00,2025-10-22 11:30:00+00:00,2025-10-22
7,261649,Jazz vs Clippers,Clippers -10.5,-105,2,78,"LINE STRENGTHENING: Spread moved from -9.5 to -10.5, full point toward favorite. Clippers spread money increased despite already at 94% on ML. Getting Clippers at -10.5 instead of booking risk at lower number.",106-120,0,0,1,0,0,0,320,-420,,226.5,-115,-107,10.5,-115,-10.5,-105,claude,2025-10-23T01:00:00.000Z,2025-10-22 18:00:00-07:00,2025-10-22 11:30:00+00:00,2025-10-22
8,261643,Hornets vs Nets,Hornets -5.5,-109,2,75,CONSISTENT SHARP SUPPORT: Hornets money climbed from 70% to 82% on ML. Over money went from 75% to 80%. Line stable at -5.5 with increasing sharp backing and total rising from 226.5 to 228.5.,119-112,1,0,0,0,0,0,-198,166,,228.5,-110,-110,-5.5,-109,5.5,-112,claude,2025-10-22T23:00:00.000Z,2025-10-22 16:00:00-07:00,2025-10-22 11:30:00+00:00,2025-10-22
9,261542,Lakers vs Warriors,Lakers +2.5,-112,2,72,GETTING BETTER NUMBER: Line moved from +2.5 to +2.5 (held) but ML moved from +115 to +124 for Lakers. Warriors money increased from 42% to 48% but getting home dog at better ML odds indicates line resistance.,116-114,1,0,0,0,0,0,124,-145,,227.5,-109,-110,2.5,-108,-2.5,-112,claude,2025-10-22T02:00:00.000Z,2025-10-21 19:00:00-07:00,2025-10-22 11:30:00+00:00,2025-10-21
10,261644,Celtics vs 76ers,Over 227.5,-115,2,68,SHARP TOTAL ACTION: Over money surged from 77% to 81% while over tickets went from 71% to 72%. Line held at 227.5 but odds moved from -107 to -115 - books adjusting juice due to sharp over action. Both teams can score.,119-114,0,0,0,0,1,0,-135,114,,227.5,-115,-107,-2.5,-110,2.5,-110,claude,2025-10-22T23:30:00.000Z,2025-10-22 16:30:00-07:00,2025-10-22 11:30:00+00:00,2025-10-22
1,261647,Bucks vs Wizards,Bucks -9.5,-113,3,94,Line moved from -8.5 to -9.5 despite 95% public on Bucks - sharp money adding to favorite. Money at 95% matches tickets at 95%. Spread getting stronger.,124-110,1,0,0,0,0,0,-425,320,,228.5,-115,-108,-9.5,-113,9.5,-106,claude,2025-10-23T00:00:00.000Z,2025-10-22 17:00:00-07:00,2025-10-22 07:30:00+00:00,2025-10-22
2,261646,Bulls vs Pistons,Pistons -3.5,-115,3,90,Strong reverse line movement: Line moved from -3.5 to -3.5 odds -110 to -115. Pistons money increased from 78% to 79% while spread money went from 60% to 53% on Bulls side - sharps hitting Pistons.,114-120,0,0,1,0,0,0,140,-166,,233.0,-110,-110,3.5,-105,-3.5,-115,claude,2025-10-23T00:00:00.000Z,2025-10-22 17:00:00-07:00,2025-10-22 07:30:00+00:00,2025-10-22
4,261644,Celtics vs 76ers,Celtics -2.5,-110,3,86,Line holding steady at -2.5 with sharp money: 87% tickets and 75% money on Celtics. Spread money moved from 53% to 62% on Celtics - sharps adding to favorite late.,116-111,1,0,0,0,0,0,-142,120,,227.5,-106,-111,-2.5,-110,2.5,-110,claude,2025-10-22T23:30:00.000Z,2025-10-22 16:30:00-07:00,2025-10-22 07:30:00+00:00,2025-10-22
5,261541,Thunder vs Rockets,Rockets +6.5,-105,2,82,Significant line move from +7.5 to +6.5 while Rockets money increased from 56% to 62%. Line moving toward Rockets despite being underdog - clear sharp action.,117-112,0,0,1,0,0,0,-285,230,,228.0,-112,-110,-6.5,-115,6.5,-105,claude,2025-10-21T23:30:00.000Z,2025-10-21 16:30:00-07:00,2025-10-22 07:30:00+00:00,2025-10-21
6,261542,Lakers vs Warriors,Lakers +3.0,-110,2,78,Reverse line movement: Line moved from +2.5 to +3.0 while Lakers money surged from 58% to 74%. Getting extra half point with sharp money backing home dog.,118-115,1,0,0,0,0,0,122,-146,,226.0,-111,-108,3.0,-110,-3.0,-110,claude,2025-10-22T02:00:00.000Z,2025-10-21 19:00:00-07:00,2025-10-22 07:30:00+00:00,2025-10-21
