rank,model,date,game_id,match,home_score,away_score,pick,odds,units,bet_result,bet_payout
1,v2,2025-10-22,261648,Grizzlies vs Pelicans,128.0,122.0,Grizzlies -3.5,-115,3,win,2.608695652173913
2,v2,2025-10-22,261644,Celtics vs 76ers,116.0,117.0,Celtics -5.0,-112,3,loss,-3.0
3,v2,2025-10-22,261647,Bucks vs Wizards,133.0,120.0,Bucks -10.5,-107,3,win,2.803738317757009
4,v2,2025-10-22,261642,Magic vs Heat,125.0,121.0,Magic -8.5,-106,3,loss,-3.0
5,v2,2025-10-22,261651,Trail Blazers vs Timberwolves,114.0,118.0,Timberwolves -4.5,-110,3,loss,-3.0
6,v2,2025-10-22,261650,Suns vs Kings,120.0,116.0,Suns -3.5,-115,3,win,2.608695652173913
7,v2,2025-10-22,261645,Hawks vs Raptors,118.0,138.0,Hawks -5.5,-110,3,loss,-3.0
8,v2,2025-10-22,261649,Jazz vs Clippers,129.0,108.0,Clippers -9.5,-110,2,loss,-2.0
9,v2,2025-10-22,261643,Hornets vs Nets,136.0,117.0,Hornets -5.5,-108,2,win,1.851851851851852
10,v2,2025-10-22,261646,Bulls vs Pistons,115.0,111.0,Pistons -3.5,-107,2,loss,-2.0
1,v2,2025-10-22,261650,Suns vs Kings,120.0,116.0,Kings ML,150,3,loss,-3.0
2,v2,2025-10-22,261646,Bulls vs Pistons,115.0,111.0,Bulls ML,122,3,win,3.66
3,v2,2025-10-22,261644,Celtics vs 76ers,116.0,117.0,Celtics -4.5,-112,3,loss,-3.0
4,v2,2025-10-22,261647,Bucks vs Wizards,133.0,120.0,Bucks -10.0,-114,3,win,2.631578947368421
5,v2,2025-10-22,261648,Grizzlies vs Pelicans,128.0,122.0,Pelicans +4.5,-113,3,loss,-3.0
6,v2,2025-10-22,261651,Trail Blazers vs Timberwolves,114.0,118.0,Timberwolves -4.5,-110,3,loss,-3.0
7,v2,2025-10-22,261544,Mavericks vs Spurs,92.0,125.0,Spurs ML,125,3,win,3.75
8,v2,2025-10-22,261643,Hornets vs Nets,136.0,117.0,Hornets -5.5,-106,2,win,1.8867924528301887
9,v2,2025-10-22,261645,Hawks vs Raptors,118.0,138.0,Hawks -5.5,-111,2,loss,-2.0
10,v2,2025-10-22,261543,Knicks vs Cavaliers,119.0,111.0,Cavaliers ML,120,2,loss,-2.0
1,v2,2025-10-22,261648,Grizzlies vs Pelicans,128.0,122.0,Pelicans ML,154,3,loss,-3.0
2,v2,2025-10-22,261647,Bucks vs Wizards,133.0,120.0,Bucks -10.5,-107,3,win,2.803738317757009
3,v2,2025-10-22,261649,Jazz vs Clippers,129.0,108.0,Clippers -10.5,-109,3,loss,-3.0
4,v2,2025-10-22,261651,Trail Blazers vs Timberwolves,114.0,118.0,Timberwolves -4.5,-107,3,loss,-3.0
5,v2,2025-10-22,261543,Knicks vs Cavaliers,119.0,111.0,Cavaliers ML,120,3,loss,-3.0
6,v2,2025-10-22,261544,Mavericks vs Spurs,92.0,125.0,Spurs ML,125,3,win,3.75
7,v2,2025-10-22,261646,Bulls vs Pistons,115.0,111.0,Pistons -3.5,-103,2,loss,-2.0
8,v2,2025-10-22,261643,Hornets vs Nets,136.0,117.0,Hornets -4.5,-110,2,win,1.818181818181818
9,v2,2025-10-22,261645,Hawks vs Raptors,118.0,138.0,Over 236.5,-102,2,win,1.96078431372549
10,v2,2025-10-22,261642,Magic vs Heat,125.0,121.0,Over 214.5,-116,2,win,1.7241379310344829
1,v2,2025-10-21,261541,Thunder vs Rockets,125.0,124.0,Rockets +6.5,-110,3,win,2.727272727272727
2,v2,2025-10-22,261646,Bulls vs Pistons,115.0,111.0,Pistons -4.5,-105,3,loss,-3.0
3,v2,2025-10-22,261543,Knicks vs Cavaliers,119.0,111.0,Cavaliers ML,-118,3,loss,-3.0
5,v2,2025-10-22,261642,Magic vs Heat,125.0,121.0,Magic -8.5,-105,3,loss,-3.0
6,v2,2025-10-22,261645,Hawks vs Raptors,118.0,138.0,Hawks -5.5,-110,3,loss,-3.0
7,v2,2025-10-22,261648,Grizzlies vs Pelicans,128.0,122.0,Grizzlies ML,-190,2,win,1.0526315789473684
8,v2,2025-10-22,261649,Jazz vs Clippers,129.0,108.0,Clippers -10.5,-110,2,loss,-2.0
10,v2,2025-10-21,261542,Lakers vs Warriors,109.0,119.0,Warriors ML,-145,2,win,1.3793103448275863
1,v2,2025-10-22,261543,Knicks vs Cavaliers,119.0,111.0,Cavaliers ML,-118,3,loss,-3.0
3,v2,2025-10-22,261651,Trail Blazers vs Timberwolves,114.0,118.0,Timberwolves -4.5,-110,3,loss,-3.0
5,v2,2025-10-22,261645,Hawks vs Raptors,118.0,138.0,Hawks -5.5,-110,3,loss,-3.0
6,v2,2025-10-22,261648,Grizzlies vs Pelicans,128.0,122.0,Pelicans +4.5,-105,2,loss,-2.0
7,v2,2025-10-22,261649,Jazz vs Clippers,129.0,108.0,Clippers -10.5,-105,2,loss,-2.0
9,v2,2025-10-21,261542,Lakers vs Warriors,109.0,119.0,Lakers +2.5,-112,2,loss,-2.0
10,v2,2025-10-22,261644,Celtics vs 76ers,116.0,117.0,Over 227.5,-115,2,win,1.7391304347826086
1,v2,2025-10-22,261647,Bucks vs Wizards,133.0,120.0,Bucks -9.5,-113,3,win,2.6548672566371683
2,v2,2025-10-22,261646,Bulls vs Pistons,115.0,111.0,Pistons -3.5,-115,3,loss,-3.0
4,v2,2025-10-22,261644,Celtics vs 76ers,116.0,117.0,Celtics -2.5,-110,3,loss,-3.0
5,v2,2025-10-21,261541,Thunder vs Rockets,125.0,124.0,Rockets +6.5,-105,2,win,1.9047619047619049
6,v2,2025-10-21,261542,Lakers vs Warriors,109.0,119.0,Lakers +3.0,-110,2,loss,-2.0
7,v2,2025-10-22,261650,Suns vs Kings,120.0,116.0,Kings +4.5,-115,2,loss,-2.0
9,v2,2025-10-22,261648,Grizzlies vs Pelicans,128.0,122.0,Grizzlies -4.5,-117,2,win,1.709401709401709
10,v2,2025-10-22,261544,Mavericks vs Spurs,92.0,125.0,Spurs +2.5,-110,1,win,0.9090909090909092
1,v2,2025-10-24,261656,Rockets vs Pistons,111.0,115.0,Rockets -5.5,-115,3,loss,-3.0
2,v2,2025-10-24,261658,Mavericks vs Wizards,107.0,117.0,Mavericks -11.5,-110,3,loss,-3.0
3,v2,2025-10-24,261655,Grizzlies vs Heat,114.0,146.0,Grizzlies -4.5,-110,3,loss,-3.0
4,v2,2025-10-23,261545,Pacers vs Thunder,135.0,141.0,Thunder -7.5,-105,3,loss,-3.0
5,v2,2025-10-24,261654,Nets vs Cavaliers,124.0,131.0,Nets +12.5,-110,3,win,2.727272727272727
6,v2,2025-10-23,261546,Warriors vs Nuggets,137.0,131.0,Nuggets +1.5,-108,2,loss,-2.0
7,v2,2025-10-24,261657,Pelicans vs Spurs,116.0,120.0,Spurs ML,-165,2,win,1.2121212121212122
8,v2,2025-10-24,261547,Knicks vs Celtics,105.0,95.0,Over 228.5,-110,2,loss,-2.0
9,v2,2025-10-24,261652,Magic vs Hawks,107.0,111.0,Magic -5.5,-110,2,loss,-2.0
10,v2,2025-10-24,261653,Raptors vs Bucks,116.0,122.0,Bucks ML,110,2,win,2.2
1,v2,2025-10-24,261656,Rockets vs Pistons,111.0,115.0,Rockets -6.5,-107,3,loss,-3.0
2,v2,2025-10-24,261658,Mavericks vs Wizards,107.0,117.0,Mavericks -9.5,-115,3,loss,-3.0
3,v2,2025-10-24,261655,Grizzlies vs Heat,114.0,146.0,Grizzlies -2.5,-110,3,loss,-3.0
4,v2,2025-10-24,261657,Pelicans vs Spurs,116.0,120.0,Spurs ML,-185,3,win,1.6216216216216215
5,v2,2025-10-24,261659,Trail Blazers vs Warriors,139.0,119.0,Warriors -2.5,-107,3,loss,-3.0
6,v2,2025-10-24,261547,Knicks vs Celtics,105.0,95.0,Knicks +3.5,-114,2,win,1.7543859649122806
7,v2,2025-10-24,261652,Magic vs Hawks,107.0,111.0,Over 236.0,-111,2,loss,-2.0
8,v2,2025-10-24,261653,Raptors vs Bucks,116.0,122.0,Bucks ML,102,2,win,2.04
9,v2,2025-10-24,261548,Lakers vs Timberwolves,128.0,110.0,Lakers +1.5,-114,2,win,1.7543859649122806
10,v2,2025-10-24,261654,Nets vs Cavaliers,124.0,131.0,Nets +11.5,-110,1,win,0.9090909090909092
1,v2,2025-10-26,261670,Heat vs Knicks,115.0,107.0,Knicks ML,-144,3,loss,-3.0
2,v2,2025-10-26,261675,Kings vs Lakers,120.0,127.0,Lakers ML,-148,3,win,2.027027027027027
3,v2,2025-10-26,261668,Pistons vs Celtics,119.0,113.0,Celtics ML,134,3,loss,-3.0
4,v2,2025-10-26,261671,Cavaliers vs Bucks,118.0,113.0,Bucks +6.5,-110,3,win,2.727272727272727
5,v2,2025-10-26,261673,Mavericks vs Raptors,139.0,129.0,Raptors ML,-105,2,loss,-2.0
6,v2,2025-10-26,261674,Clippers vs Trail Blazers,114.0,107.0,Blazers +8.5,-115,2,win,1.7391304347826086
