rank,game_id,start_time,match,pick,odds,units,confidence_pct,reason,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,timestamp,start_time_pt,date,model,home_team,away_team,reason_code
1.0,266367.0,2025-11-11T23:30:00.000Z,Michigan vs Wake Forest,Wake Forest +15.5,-108.0,3.0,90.0,"Early-season double-digit dog fade of a heavily priced home favorite; majority spread sides underperform in Nov–Jan, improving ROI by taking inflated numbers [web:6][web:25][web:13].",84-72,0.0,0.0,1.0,0.0,0.0,0.0,-1600.0,990.0,,168.5,-110.0,-110.0,-15.5,-112.0,15.5,-108.0,2025-11-11 09:53:25.723285,2025-11-11 15:30:00-08:00,2025-11-11,perplexity,,,
2.0,264701.0,2025-11-12T01:30:00.000Z,Illinois vs Texas Tech,Illinois -3.5,-115.0,2.0,84.0,"Short home favorite within typical non-conference HCA band (~3–3.5), avoiding big-chalk volatility; edge to modest home favorite over coin-flip public splits [web:13][web:6][web:25].",86-80,1.0,0.0,0.0,0.0,0.0,0.0,-180.0,147.0,,167.5,-115.0,-110.0,-3.5,-115.0,3.5,-105.0,2025-11-11 09:53:25.723285,2025-11-11 17:30:00-08:00,2025-11-11,perplexity,,,
3.0,266649.0,2025-11-12T03:00:00.000Z,Gonzaga vs Creighton,Creighton +11.5,-110.0,1.0,79.0,Quality opponent catching double digits versus brand-name power; majority spread sides near 50% ATS and early-season fade angle favors dogs [web:6][web:25][web:13].,85-77,0.0,0.0,1.0,0.0,0.0,0.0,-924.0,550.0,,165.5,-105.0,-115.0,-11.5,-110.0,11.5,-110.0,2025-11-11 09:53:25.723285,2025-11-11 19:00:00-08:00,2025-11-11,perplexity,,,
4.0,264732.0,2025-11-12T01:00:00.000Z,Louisville vs Kentucky,Kentucky +6.5,-112.0,1.0,78.0,Rivalry with live road dog under a TD; fading home majority angles in Nov–Jan historically reduces ROI drag on favorites [web:6][web:13][web:25].,84-79,0.0,0.0,1.0,0.0,0.0,0.0,-270.0,220.0,,173.5,-115.0,-108.0,-6.5,-108.0,6.5,-112.0,2025-11-11 09:53:25.723285,2025-11-11 17:00:00-08:00,2025-11-11,perplexity,,,
5.0,264731.0,2025-11-12T00:00:00.000Z,Florida vs Florida St,Florida St +17.5,-111.0,1.0,77.0,In-state dog at +3+ possessions vs a strong home brand; double-digit dog cover paths align with early-season favorite inefficiency [web:6][web:25][web:13].,88-74,0.0,0.0,1.0,0.0,0.0,0.0,-3297.0,1200.0,,180.5,-105.0,-112.0,-17.5,-110.0,17.5,-111.0,2025-11-11 09:53:25.723285,2025-11-11 16:00:00-08:00,2025-11-11,perplexity,,,
6.0,264714.0,2025-11-12T01:00:00.000Z,Kansas vs Texas A&M-CC,Texas A&M-CC +27,-110.0,1.0,72.0,"Extreme spread inflation spot; big fav ATS performance is near breakeven long-term, so variance favors taking very high numbers [web:6][web:25][web:13].",93-66,0.0,0.0,1.0,0.0,0.0,0.0,-10000.0,3500.0,,147.5,-105.0,-115.0,-27.0,-110.0,27.0,-110.0,2025-11-11 09:53:25.723285,2025-11-11 17:00:00-08:00,2025-11-11,perplexity,,,
7.0,266359.0,2025-11-12T01:00:00.000Z,Auburn vs Wofford,Wofford +27.5,-110.0,1.0,72.0,Large non-conference home favorite fade; taking heavy points in November improves robustness against public bias [web:6][web:13][web:25].,92-67,0.0,0.0,1.0,0.0,0.0,0.0,-10000.0,1600.0,,154.5,-105.0,-115.0,-27.5,-110.0,27.5,-110.0,2025-11-11 09:53:25.723285,2025-11-11 17:00:00-08:00,2025-11-11,perplexity,,,
8.0,264709.0,2025-11-12T01:30:00.000Z,Wisconsin vs Ball State,Ball State +27.5,-115.0,1.0,71.0,Similar extreme spread setup; dog covers benefit from endgame variance and slower tempos common to Big Ten styles [web:6][web:25][web:13].,85-59,0.0,0.0,1.0,0.0,0.0,0.0,-10000.0,2500.0,,157.5,-110.0,-110.0,-27.5,-105.0,27.5,-115.0,2025-11-11 09:53:25.723285,2025-11-11 17:30:00-08:00,2025-11-11,perplexity,,,
9.0,264718.0,2025-11-12T02:00:00.000Z,BYU vs Delaware,Delaware +35.5,-108.0,1.0,71.0,Ultra-high spread where underdog backdoor and rotation depth mitigate late blowout risk; early-season fav fade [web:6][web:25][web:13].,97-65,0.0,0.0,1.0,0.0,0.0,0.0,-20000.0,2200.0,,163.5,-115.0,-105.0,-35.5,-112.0,35.5,-108.0,2025-11-11 09:53:25.723285,2025-11-11 18:00:00-08:00,2025-11-11,perplexity,,,
10.0,271994.0,2025-11-12T02:00:00.000Z,Arizona vs N. Arizona,N. Arizona +35.5,-105.0,1.0,71.0,Another ultra-high number vs elite home brand; systematic fade of inflated chalk in non-conference [web:6][web:25][web:13].,98-66,0.0,0.0,1.0,0.0,0.0,0.0,-6500.0,2000.0,,162.5,-110.0,-110.0,-35.5,-115.0,35.5,-105.0,2025-11-11 09:53:25.723285,2025-11-11 18:00:00-08:00,2025-11-11,perplexity,,,
