game_id,start_time,league_name,home_team,away_team,home_score,away_score,status
261543,2025-10-22T23:00:00.000Z,nba,Knicks,Cavaliers,119,111,complete
261642,2025-10-22T23:00:00.000Z,nba,Magic,Heat,125,121,complete
261643,2025-10-22T23:00:00.000Z,nba,Hornets,Nets,136,117,complete
261644,2025-10-22T23:30:00.000Z,nba,Celtics,76ers,116,117,complete
261645,2025-10-22T23:30:00.000Z,nba,Hawks,Raptors,118,138,complete
261646,2025-10-23T00:00:00.000Z,nba,Bulls,Pistons,115,111,complete
261647,2025-10-23T00:00:00.000Z,nba,Bucks,Wizards,133,120,complete
261648,2025-10-23T00:00:00.000Z,nba,Grizzlies,Pelicans,128,122,complete
261649,2025-10-23T01:00:00.000Z,nba,Jazz,Clippers,129,108,complete
261544,2025-10-23T01:30:00.000Z,nba,Mavericks,Spurs,92,125,complete
261650,2025-10-23T02:00:00.000Z,nba,Suns,Kings,120,116,complete
261651,2025-10-23T02:00:00.000Z,nba,Trail Blazers,Timberwolves,114,118,complete
261541,2025-10-21T23:30:00.000Z,nba,Thunder,Rockets,125,124,complete
261542,2025-10-22T02:00:00.000Z,nba,Lakers,Warriors,109,119,complete
261653,2025-10-24T22:30:00.000Z,nba,Raptors,Bucks,116,122,complete
261652,2025-10-24T23:00:00.000Z,nba,Magic,Hawks,107,111,complete
261547,2025-10-24T23:30:00.000Z,nba,Knicks,Celtics,105,95,complete
261654,2025-10-24T23:30:00.000Z,nba,Nets,Cavaliers,124,131,complete
261655,2025-10-25T00:00:00.000Z,nba,Grizzlies,Heat,114,146,complete
261656,2025-10-25T00:00:00.000Z,nba,Rockets,Pistons,111,115,complete
261657,2025-10-25T00:00:00.000Z,nba,Pelicans,Spurs,116,120,complete
261658,2025-10-25T00:30:00.000Z,nba,Mavericks,Wizards,107,117,complete
261548,2025-10-25T02:00:00.000Z,nba,Lakers,Timberwolves,128,110,complete
261659,2025-10-25T02:00:00.000Z,nba,Trail Blazers,Warriors,139,119,complete
261660,2025-10-25T02:00:00.000Z,nba,Kings,Jazz,105,104,complete
261661,2025-10-25T02:30:00.000Z,nba,Clippers,Suns,129,102,complete
261545,2025-10-23T23:30:00.000Z,nba,Pacers,Thunder,135,141,complete
261546,2025-10-24T02:00:00.000Z,nba,Warriors,Nuggets,137,131,complete
261667,2025-10-26T18:00:00.000Z,nba,Spurs,Nets,118,107,complete
261668,2025-10-26T19:30:00.000Z,nba,Pistons,Celtics,119,113,complete
261669,2025-10-26T22:00:00.000Z,nba,Wizards,Hornets,113,139,complete
261670,2025-10-26T22:00:00.000Z,nba,Heat,Knicks,115,107,complete
261671,2025-10-26T22:00:00.000Z,nba,Cavaliers,Bucks,118,113,complete
261672,2025-10-26T23:00:00.000Z,nba,Timberwolves,Pacers,114,110,complete
261673,2025-10-26T23:30:00.000Z,nba,Mavericks,Raptors,139,129,complete
261674,2025-10-27T01:00:00.000Z,nba,Clippers,Trail Blazers,114,107,complete
261675,2025-10-27T01:00:00.000Z,nba,Kings,Lakers,120,127,complete
261549,2025-10-27T23:00:00.000Z,nba,Pistons,Cavaliers,95,116,complete
261676,2025-10-27T23:00:00.000Z,nba,76ers,Magic,136,124,complete
261677,2025-10-28T00:00:00.000Z,nba,Bulls,Hawks,128,123,complete
261678,2025-10-28T00:00:00.000Z,nba,Rockets,Nets,137,109,complete
261679,2025-10-28T00:00:00.000Z,nba,Pelicans,Celtics,90,122,complete
261680,2025-10-28T00:00:00.000Z,nba,Spurs,Raptors,121,103,complete
261681,2025-10-28T00:30:00.000Z,nba,Mavericks,Thunder,94,101,complete
261682,2025-10-28T01:00:00.000Z,nba,Jazz,Suns,138,134,complete
261550,2025-10-28T01:30:00.000Z,nba,Timberwolves,Nuggets,114,127,complete
261683,2025-10-28T02:00:00.000Z,nba,Warriors,Grizzlies,131,118,complete
261684,2025-10-28T02:30:00.000Z,nba,Lakers,Trail Blazers,108,122,complete
261685,2025-10-28T23:00:00.000Z,nba,Wizards,76ers,134,139,complete
261686,2025-10-28T23:30:00.000Z,nba,Heat,Hornets,144,117,complete
261687,2025-10-29T00:00:00.000Z,nba,Bucks,Knicks,121,111,complete
261688,2025-10-29T00:00:00.000Z,nba,Thunder,Kings,107,101,complete
261689,2025-10-29T03:00:00.000Z,nba,Warriors,Clippers,98,79,complete
261692,2025-10-29T22:30:00.000Z,nba,Raptors,Rockets,121,139,complete
261690,2025-10-29T23:00:00.000Z,nba,Celtics,Cavaliers,125,105,complete
261691,2025-10-29T23:00:00.000Z,nba,Pistons,Magic,135,116,complete
261693,2025-10-29T23:30:00.000Z,nba,Nets,Hawks,112,117,complete
261694,2025-10-30T00:00:00.000Z,nba,Bulls,Kings,126,113,complete
261695,2025-10-30T00:30:00.000Z,nba,Mavericks,Pacers,107,105,complete
261696,2025-10-30T01:00:00.000Z,nba,Nuggets,Pelicans,122,88,complete
261697,2025-10-30T01:00:00.000Z,nba,Jazz,Trail Blazers,134,136,complete
261698,2025-10-30T01:30:00.000Z,nba,Timberwolves,Lakers,115,116,complete
261699,2025-10-30T02:00:00.000Z,nba,Suns,Grizzlies,113,114,complete
261700,2025-10-30T23:00:00.000Z,nba,Hornets,Magic,107,123,complete
261701,2025-10-31T00:00:00.000Z,nba,Bucks,Warriors,120,110,complete
261702,2025-10-31T00:00:00.000Z,nba,Thunder,Wizards,127,108,complete
261703,2025-10-31T00:30:00.000Z,nba,Spurs,Heat,107,101,complete
261551,2025-10-31T23:00:00.000Z,nba,76ers,Celtics,108,109,complete
261552,2025-10-31T23:00:00.000Z,nba,Pacers,Hawks,108,128,complete
261553,2025-10-31T23:30:00.000Z,nba,Cavaliers,Raptors,101,112,complete
261554,2025-11-01T00:00:00.000Z,nba,Bulls,Knicks,135,125,complete
261555,2025-11-01T01:30:00.000Z,nba,Grizzlies,Lakers,112,117,complete
261556,2025-11-01T02:00:00.000Z,nba,Suns,Jazz,118,96,complete
261557,2025-11-01T02:00:00.000Z,nba,Trail Blazers,Nuggets,109,107,complete
261558,2025-11-01T02:30:00.000Z,nba,Clippers,Pelicans,126,124,complete
261718,2025-11-04T00:00:00.000Z,nba,Nets,Timberwolves,109,125,complete
261719,2025-11-04T00:00:00.000Z,nba,Pacers,Bucks,115,117,complete
261720,2025-11-04T00:30:00.000Z,nba,Knicks,Wizards,119,102,complete
261721,2025-11-04T00:30:00.000Z,nba,Celtics,Jazz,103,105,complete
261722,2025-11-04T01:00:00.000Z,nba,Rockets,Mavericks,110,102,complete
261723,2025-11-04T01:00:00.000Z,nba,Grizzlies,Pistons,106,114,complete
261724,2025-11-04T02:00:00.000Z,nba,Nuggets,Kings,130,124,complete
261725,2025-11-04T03:00:00.000Z,nba,Trail Blazers,Lakers,115,123,complete
281783,2025-11-04T03:30:00.000Z,nba,Clippers,Heat,119,120,complete
261726,2025-11-05T00:30:00.000Z,nba,Raptors,Bucks,128,100,complete
261727,2025-11-05T01:00:00.000Z,nba,Bulls,76ers,113,111,complete
261728,2025-11-05T01:00:00.000Z,nba,Hawks,Magic,127,112,complete
261729,2025-11-05T01:00:00.000Z,nba,Pelicans,Hornets,116,112,complete
261730,2025-11-05T03:00:00.000Z,nba,Warriors,Suns,118,107,complete
261731,2025-11-05T04:00:00.000Z,nba,Clippers,Thunder,107,126,complete
261732,2025-11-06T00:00:00.000Z,nba,Pistons,Jazz,114,103,complete
261733,2025-11-06T00:00:00.000Z,nba,Pacers,Nets,103,112,complete
261734,2025-11-06T00:00:00.000Z,nba,Cavaliers,76ers,132,121,complete
261735,2025-11-06T00:30:00.000Z,nba,Celtics,Wizards,136,107,complete
261736,2025-11-06T00:30:00.000Z,nba,Knicks,Timberwolves,137,114,complete
261737,2025-11-06T01:00:00.000Z,nba,Grizzlies,Rockets,109,124,complete
261738,2025-11-06T01:30:00.000Z,nba,Mavericks,Pelicans,99,101,complete
261739,2025-11-06T02:00:00.000Z,nba,Nuggets,Heat,122,112,complete
261740,2025-11-06T03:00:00.000Z,nba,Kings,Warriors,121,116,complete
261741,2025-11-06T03:00:00.000Z,nba,Trail Blazers,Thunder,121,119,complete
261742,2025-11-06T03:00:00.000Z,nba,Lakers,Spurs,118,116,complete
261743,2025-11-07T02:00:00.000Z,nba,Suns,Clippers,115,102,complete
261559,2025-11-08T00:00:00.000Z,nba,Wizards,Cavaliers,114,148,complete
261560,2025-11-08T00:00:00.000Z,nba,Magic,Celtics,123,110,complete
261561,2025-11-08T00:30:00.000Z,nba,Spurs,Rockets,121,110,complete
261562,2025-11-08T00:30:00.000Z,nba,Hawks,Raptors,97,109,complete
261563,2025-11-08T00:30:00.000Z,nba,Nets,Pistons,107,125,complete
261564,2025-11-08T01:00:00.000Z,nba,Timberwolves,Jazz,137,97,complete
261565,2025-11-08T01:00:00.000Z,nba,Heat,Hornets,126,108,complete
261566,2025-11-08T01:00:00.000Z,nba,Grizzlies,Mavericks,118,104,complete
261567,2025-11-08T01:00:00.000Z,nba,Bucks,Bulls,126,110,complete
261568,2025-11-08T03:00:00.000Z,nba,Nuggets,Warriors,129,104,complete
261569,2025-11-08T03:00:00.000Z,nba,Kings,Thunder,101,132,complete
261744,2025-11-09T00:00:00.000Z,nba,Wizards,Mavericks,105,111,complete
261745,2025-11-09T00:30:00.000Z,nba,76ers,Raptors,130,120,complete
261746,2025-11-09T01:00:00.000Z,nba,Cavaliers,Bulls,128,122,complete
261747,2025-11-09T01:00:00.000Z,nba,Spurs,Pelicans,126,119,complete
261748,2025-11-09T01:00:00.000Z,nba,Heat,Trail Blazers,136,131,complete
261749,2025-11-09T01:00:00.000Z,nba,Hawks,Lakers,122,102,complete
261750,2025-11-09T02:00:00.000Z,nba,Nuggets,Pacers,117,100,complete
261751,2025-11-09T03:30:00.000Z,nba,Clippers,Suns,103,114,complete
261752,2025-11-09T20:30:00.000Z,nba,Bucks,Rockets,115,122,complete
261753,2025-11-09T23:00:00.000Z,nba,Knicks,Nets,134,98,complete
261754,2025-11-09T23:00:00.000Z,nba,Grizzlies,Thunder,100,114,complete
261755,2025-11-09T23:00:00.000Z,nba,Magic,Celtics,107,111,complete
261756,2025-11-10T00:30:00.000Z,nba,76ers,Pistons,108,111,complete
261757,2025-11-10T01:30:00.000Z,nba,Warriors,Pacers,114,83,complete
261758,2025-11-10T02:00:00.000Z,nba,Kings,Timberwolves,117,144,complete
261759,2025-11-11T00:00:00.000Z,nba,Hornets,Lakers,111,121,complete
261760,2025-11-11T00:00:00.000Z,nba,Magic,Trail Blazers,115,112,complete
261761,2025-11-11T00:00:00.000Z,nba,Pistons,Wizards,137,135,complete
261762,2025-11-11T00:30:00.000Z,nba,Heat,Cavaliers,140,138,complete
261763,2025-11-11T01:00:00.000Z,nba,Bulls,Spurs,117,121,complete
261764,2025-11-11T01:30:00.000Z,nba,Mavericks,Bucks,114,116,complete
261765,2025-11-11T02:00:00.000Z,nba,Suns,Pelicans,121,98,complete
261766,2025-11-11T02:00:00.000Z,nba,Jazz,Timberwolves,113,120,complete
