rank,model,date,game_id,match,home_score,away_score,pick,odds,units,bet_result,bet_payout
1,perp,2025-11-11,266367,Michigan vs Wake Forest,85,84,Wake Forest +15.5,-108,3,win,2.7777777777777777
2,perp,2025-11-11,264701,Illinois vs Texas Tech,81,77,Illinois -3.5,-115,2,win,1.7391304347826086
3,perp,2025-11-11,266649,Gonzaga vs Creighton,90,63,Creighton +11.5,-110,1,loss,-1.0
4,perp,2025-11-11,264732,Louisville vs Kentucky,96,88,Kentucky +6.5,-112,1,loss,-1.0
5,perp,2025-11-11,264731,Florida vs Florida St,78,76,Florida St +17.5,-111,1,win,0.9009009009009008
6,perp,2025-11-11,264714,Kansas vs Texas A&M-CC,77,46,Texas A&M-CC +27,-110,1,loss,-1.0
7,perp,2025-11-11,266359,Auburn vs Wofford,93,62,Wofford +27.5,-110,1,loss,-1.0
8,perp,2025-11-11,264709,Wisconsin vs Ball State,86,55,Ball State +27.5,-115,1,loss,-1.0
9,perp,2025-11-11,264718,BYU vs Delaware,85,68,Delaware +35.5,-108,1,win,0.925925925925926
10,perp,2025-11-11,271994,Arizona vs N. Arizona,84,49,N. Arizona +35.5,-105,1,win,0.9523809523809524
1,perp,2025-11-11,266367,Michigan vs Wake Forest,85,84,Michigan -15,-110,2,loss,-2.0
2,perp,2025-11-11,264721,UNC vs Radford,89,74,UNC -19.5,-112,2,loss,-2.0
3,perp,2025-11-11,264732,Louisville vs Kentucky,96,88,Louisville -6.5,-110,2,win,1.818181818181818
4,perp,2025-11-11,266649,Gonzaga vs Creighton,90,63,Gonzaga -11.5,-112,2,win,1.7857142857142858
5,perp,2025-11-11,264701,Illinois vs Texas Tech,81,77,Illinois -3.5,-115,2,win,1.7391304347826086
6,perp,2025-11-11,264714,Kansas vs Texas A&M-CC,77,46,Kansas -27.5,-114,1,win,0.8771929824561403
7,perp,2025-11-11,266359,Auburn vs Wofford,93,62,Auburn -27.5,-110,1,win,0.9090909090909092
9,perp,2025-11-11,264718,BYU vs Delaware,85,68,BYU -36.5,-105,1,loss,-1.0
10,perp,2025-11-11,271994,Arizona vs N. Arizona,84,49,Arizona -35.5,-115,1,loss,-1.0
11,perp,2025-11-11,264731,Florida vs Florida St,78,76,Florida -17.5,-111,1,loss,-1.0
1,perp,2025-11-12,264754,Georgetown vs Binghamton,83,70,Binghamton +27.5,-110,3,win,2.727272727272727
2,perp,2025-11-12,264748,St. Bonaventure vs Siena,75,66,St. Bonaventure -8.5,-110,2,win,1.818181818181818
