game_id,start_time,league_name,home_team,away_team,home_score,away_score,status
266367,2025-11-11T23:30:00.000Z,ncaab,Michigan,Wake Forest,85,84,complete
264721,2025-11-12T00:00:00.000Z,ncaab,UNC,Radford,89,74,complete
264731,2025-11-12T00:00:00.000Z,ncaab,Florida,Florida St,78,76,complete
266361,2025-11-12T00:00:00.000Z,ncaab,Army ,Duke,59,114,complete
264714,2025-11-12T01:00:00.000Z,ncaab,Kansas,Texas A&M-CC,77,46,complete
264732,2025-11-12T01:00:00.000Z,ncaab,Louisville,Kentucky,96,88,complete
266359,2025-11-12T01:00:00.000Z,ncaab,Auburn,Wofford,93,62,complete
267625,2025-11-12T01:00:00.000Z,ncaab,Arkansas,C. Arkansas,93,56,complete
264701,2025-11-12T01:30:00.000Z,ncaab,Illinois,Texas Tech,81,77,complete
264709,2025-11-12T01:30:00.000Z,ncaab,Wisconsin,Ball State,86,55,complete
264718,2025-11-12T02:00:00.000Z,ncaab,BYU,Delaware,85,68,complete
271994,2025-11-12T02:00:00.000Z,ncaab,Arizona,N. Arizona,84,49,complete
266367,2025-11-11T23:30:00.000Z,ncaab,Michigan,Wake Forest,85,84,complete
264721,2025-11-12T00:00:00.000Z,ncaab,UNC,Radford,89,74,complete
264731,2025-11-12T00:00:00.000Z,ncaab,Florida,Florida St,78,76,complete
266361,2025-11-12T00:00:00.000Z,ncaab,Army ,Duke,59,114,complete
264714,2025-11-12T01:00:00.000Z,ncaab,Kansas,Texas A&M-CC,77,46,complete
264732,2025-11-12T01:00:00.000Z,ncaab,Louisville,Kentucky,96,88,complete
266359,2025-11-12T01:00:00.000Z,ncaab,Auburn,Wofford,93,62,complete
267625,2025-11-12T01:00:00.000Z,ncaab,Arkansas,C. Arkansas,93,56,complete
264701,2025-11-12T01:30:00.000Z,ncaab,Illinois,Texas Tech,81,77,complete
264709,2025-11-12T01:30:00.000Z,ncaab,Wisconsin,Ball State,86,55,complete
264718,2025-11-12T02:00:00.000Z,ncaab,BYU,Delaware,85,68,complete
271994,2025-11-12T02:00:00.000Z,ncaab,Arizona,N. Arizona,84,49,complete
266649,2025-11-12T03:00:00.000Z,ncaab,Gonzaga,Creighton,90,63,complete
264742,2025-11-13T00:00:00.000Z,ncaab,Tennessee,North Florida,99,66,complete
266377,2025-11-13T01:00:00.000Z,ncaab,Houston,Oakland,78,45,complete
264742,2025-11-13T00:00:00.000Z,ncaab,Tennessee,North Florida,99,66,complete
266377,2025-11-13T01:00:00.000Z,ncaab,Houston,Oakland,78,45,complete
264742,2025-11-13T00:00:00.000Z,ncaab,Tennessee,North Florida,99,66,complete
266377,2025-11-13T01:00:00.000Z,ncaab,Houston,Oakland,78,45,complete
264754,2025-11-12T23:30:00.000Z,ncaab,Georgetown,Binghamton,83,70,complete
