game_id,league_name,home_team,away_team,home_team_id,away_team_id,status,home_score,away_score,home_pitcher,home_pitcher_era,home_pitcher_k9,home_pitcher_ip,home_pitcher_starts,home_pitcher_win,home_pitcher_loss,away_pitcher,away_pitcher_era,away_pitcher_k9,away_pitcher_ip,away_pitcher_starts,away_pitcher_win,away_pitcher_loss,start_time,market_id,book_id,event_id,num_bets,home_money_line,home_ml_ticket_pct,home_ml_money_pct,away_money_line,away_ml_ticket_pct,away_ml_money_pct,tie_money_line,tie_ml_ticket_pct,tie_ml_money_pct,total_score,over_odds,under_odds,over_ticket_pct,over_money_pct,under_ticket_pct,under_money_pct,home_spread,home_spread_odds,home_spread_ticket_pct,home_spread_money_pct,away_spread,away_spread_odds,away_spread_ticket_pct,away_spread_money_pct,start_time_pt,date_scraped
263445,bundesliga,Mainz,HOFF,1133,1128,scheduled,,,,,,,,,,,,,,,,,2025-11-21T19:30:00.000Z,15,15,263445,721.0,150,51,31,170,42,60,260,7,9,2.5,-167,130,90,91,10,9,-0.5,130,0,0,0.5,-190,0,0,2025-11-21 11:30:00-08:00,2025-11-20 20:06:49.973030
263445,bundesliga,Mainz,HOFF,1133,1128,scheduled,N/A,N/A,,,,,,,,,,,,,,,2025-11-21T19:30:00.000Z,15,15,263445,721.0,150,51,31,170,42,60,260,7,9,2.5,-167,130,90,91,10,9,-0.5,130,0,0,0.5,-190,0,0,2025-11-21 11:30:00-08:00,2025-11-20 20:06:54.739076
263516,ligue1,Nice,Marseille,1152,1146,scheduled,,,,,,,,,,,,,,,,,2025-11-21T19:45:00.000Z,15,15,263516,636.0,266,8,8,-102,90,83,270,3,9,2.5,-147,115,92,93,8,7,0.5,-125,0,0,-0.5,-115,0,0,2025-11-21 11:45:00-08:00,2025-11-20 20:06:49.973030
263516,ligue1,Nice,Marseille,1152,1146,scheduled,N/A,N/A,,,,,,,,,,,,,,,2025-11-21T19:45:00.000Z,15,15,263516,636.0,266,8,8,-102,90,83,270,3,9,2.5,-147,115,92,93,8,7,0.5,-125,0,0,-0.5,-115,0,0,2025-11-21 11:45:00-08:00,2025-11-20 20:06:54.739076
263496,laliga,Valencia,Levante,1175,1372,scheduled,,,,,,,,,,,,,,,,,2025-11-21T20:00:00.000Z,15,15,263496,429.0,105,88,68,255,6,19,240,6,14,2.5,-110,-115,79,76,21,24,-0.5,-102,0,0,0.5,-135,0,0,2025-11-21 12:00:00-08:00,2025-11-20 20:06:49.973030
263496,laliga,Valencia,Levante,1175,1372,scheduled,N/A,N/A,,,,,,,,,,,,,,,2025-11-21T20:00:00.000Z,15,15,263496,429.0,105,88,68,255,6,19,240,6,14,2.5,-110,-115,79,76,21,24,-0.5,-102,0,0,0.5,-135,0,0,2025-11-21 12:00:00-08:00,2025-11-20 20:06:54.739076
263435,epl,Burnley,Chelsea,1101,1102,scheduled,,,,,,,,,,,,,,,,,2025-11-22T12:30:00.000Z,15,15,263435,439.0,550,1,1,-200,98,98,350,1,1,2.5,-129,101,96,96,4,4,1.5,-182,0,0,-1.5,125,0,0,2025-11-22 04:30:00-08:00,2025-11-20 20:06:49.973030
263435,epl,Burnley,Chelsea,1101,1102,scheduled,N/A,N/A,,,,,,,,,,,,,,,2025-11-22T12:30:00.000Z,15,15,263435,439.0,550,1,1,-200,98,98,350,1,1,2.5,-129,101,96,96,4,4,1.5,-182,0,0,-1.5,125,0,0,2025-11-22 04:30:00-08:00,2025-11-20 20:06:54.739076
263504,laliga,Alaves,Celta Vigo,1157,1162,scheduled,,,,,,,,,,,,,,,,,2025-11-22T13:00:00.000Z,15,15,263504,131.0,155,41,35,200,46,51,207,14,14,2.5,130,-168,87,88,13,12,-0.5,135,0,0,0.5,-200,0,0,2025-11-22 05:00:00-08:00,2025-11-20 20:06:49.973030
263504,laliga,Alaves,Celta Vigo,1157,1162,scheduled,N/A,N/A,,,,,,,,,,,,,,,2025-11-22T13:00:00.000Z,15,15,263504,131.0,155,41,35,200,46,51,207,14,14,2.5,130,-168,87,88,13,12,-0.5,135,0,0,0.5,-200,0,0,2025-11-22 05:00:00-08:00,2025-11-20 20:06:54.739076
